4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
								70,540	33,52	0,16	0,31
								70,560	33,85	0,17	0,53
								70,580	34,19	0,18	0,65
								70,600	34,57	0,19	0,54
								70,620	34,96	0,20	0,54
								70,640	35,37	0,21	0,55
								70,660	35,82	0,22	0,21
								70,680	36,27	0,22	0,20
								70,700	36,71	0,23	0,54
								70,720	37,19	0,24	0,45
								70,740	37,69	0,25	0,11
								70,760	38,19	0,25	0,10
								70,780	38,69	0,25	0,21
								70,800	39,20	0,26	0,22
								70,820	39,72	0,26	0,11
								70,840	40,25	0,26	2,40E-12
								70,860	40,77	0,26	0,01
								70,880	41,30	0,26	-0,11
								70,900	41,82	0,26	3,28E-4
								70,920	42,33	0,26	0,02
								70,940	42,87	0,26	-0,33
								70,960	43,36	0,25	-0,22
								70,980	43,86	0,25	-0,09
								71,000	44,36	0,25	-0,32
								71,020	44,84	0,24	-0,33
								71,040	45,31	0,23	-0,20
								71,060	45,77	0,23	-0,42
								71,080	46,22	0,22	-0,54
								71,100	46,64	0,21	-0,43
								71,120	47,05	0,20	-0,43
								71,140	47,43	0,19	-0,42
								71,160	47,81	0,18	-0,54
								71,180	48,15	0,17	-0,54
								71,200	48,48	0,16	-0,53
								71,220	48,79	0,15	-0,64
								71,240	49,07	0,13	-0,64
								71,260	49,33	0,12	-0,64
								71,280	49,56	0,11	-0,64
								71,300	49,76	0,10	-0,64
								71,320	49,94	0,08	-0,64
								71,340	50,09	0,07	-0,64
								71,360	50,22	0,06	-0,64
								71,380	50,32	0,04	-0,75
								71,400	50,39	0,03	-0,76
								71,420	50,43	0,01	-0,64
								71,440	50,45	0,00	-0,75
								71,460	50,43	-0,02	-0,76
								71,480	50,38	-0,03	-0,65
								71,500	50,32	-0,04	-0,65
								71,520	50,22	-0,06	-0,53
								71,540	50,10	-0,06	-0,64
								71,560	49,96	-0,08	-0,77
								71,580	49,77	-0,09	-0,54
								71,600	49,59	-0,10	-0,54
								71,620	49,36	-0,12	-0,55
								71,640	49,12	-0,12	-0,42
								71,660	48,87	-0,13	-0,53
								71,680	48,59	-0,15	-0,66
								71,700	48,29	-0,16	-0,44
								71,720	47,96	-0,16	-0,32
								71,740	47,63	-0,17	-0,44
								71,760	47,27	-0,18	-0,32
								71,780	46,91	-0,18	-0,32
								71,800	46,54	-0,19	-0,33
								71,820	46,14	-0,20	-0,21
								71,840	45,75	-0,20	-0,33
								71,860	45,33	-0,21	-0,22
								71,880	44,90	-0,21	-0,10
								71,900	44,49	-0,21	-0,22
								71,920	44,04	-0,22	-0,11
								71,940	43,61	-0,22	2,02E-12
								71,960	43,16	-0,22	-1,91E-12
								71,980	42,74	-0,22	-0,01
								72,000	42,29	-0,22	0,11
								72,020	41,86	-0,22	0,11
								72,040	41,43	-0,22	-0,01
								72,060	41,00	-0,22	0,10
								72,080	40,56	-0,21	0,22
								72,100	40,15	-0,21	0,22
								72,120	39,74	-0,20	0,22
								72,140	39,34	-0,20	0,22
								72,160	38,95	-0,19	0,21
								72,180	38,57	-0,19	0,32
								72,200	38,19	-0,18	0,43
								72,220	37,84	-0,17	0,43
								72,240	37,50	-0,16	0,44
								72,260	37,19	-0,16	0,32
								72,280	36,88	-0,15	0,42
								72,300	36,58	-0,14	0,54
								72,320	36,32	-0,13	0,43
								72,340	36,06	-0,12	0,43
								72,360	35,84	-0,11	0,42
								72,380	35,61	-0,10	0,53
								72,400	35,42	-0,09	0,65
								72,420	35,25	-0,08	0,54
								72,440	35,11	-0,07	0,42
								72,460	34,97	-0,06	0,65
								72,480	34,87	-0,04	0,66
								72,500	34,80	-0,03	0,43
								72,520	34,73	-0,03	0,42
								72,540	34,69	-0,02	0,53
								72,560	34,66	0,00	0,65
								72,580	34,67	0,01	0,54
								72,600	34,69	0,02	0,43
								72,620	34,74	0,03	0,42
								72,640	34,79	0,03	0,53
								72,660	34,88	0,05	0,65
								72,680	34,98	0,06	0,55
								72,700	35,12	0,07	0,32
								72,720	35,25	0,07	0,32
								72,740	35,41	0,08	0,43
								72,760	35,58	0,09	0,43
								72,780	35,77	0,10	0,43
								72,800	35,97	0,11	0,44
								72,820	36,19	0,12	0,33
								72,840	36,43	0,12	0,21
								72,860	36,67	0,12	0,32
								72,880	36,93	0,13	0,33
								72,900	37,21	0,14	0,21
								72,920	37,48	0,14	0,22
								72,940	37,77	0,15	0,11
								72,960	38,06	0,15	0,10
								72,980	38,36	0,15	0,33
								73,000	38,66	0,16	0,23
								73,020	38,99	0,16	-1,41E-12
								73,040	39,30	0,16	1,41E-12
								73,060	39,63	0,16	1,34E-12
								73,080	39,94	0,16	0,01
								73,100	40,26	0,16	-0,11
								73,120	40,57	0,15	-0,11
								73,140	40,88	0,15	-1,41E-12
								73,160	41,19	0,15	0,00
								73,180	41,50	0,15	0,01
								73,200	41,81	0,15	-0,09
								73,220	42,12	0,15	-0,33
								73,240	42,42	0,14	-0,22
								73,260	42,69	0,14	-0,09
								73,280	42,98	0,14	-0,33
								73,300	43,24	0,13	-0,22
								73,320	43,50	0,13	-0,09
								73,340	43,76	0,13	-0,32
								73,360	44,00	0,12	-0,33
								73,380	44,22	0,11	-0,21
								73,400	44,45	0,11	-0,32
								73,420	44,66	0,10	-0,44
								73,440	44,85	0,09	-0,33
								73,460	45,02	0,09	-0,21
								73,480	45,19	0,08	-0,32
								73,500	45,35	0,07	-0,43
								73,520	45,49	0,07	-0,44
								73,540	45,61	0,06	-0,33
								73,560	45,71	0,05	-0,21
								73,580	45,82	0,05	-0,32
								73,600	45,90	0,04	-0,43
								73,620	45,97	0,03	-0,43
								73,640	46,02	0,02	-0,44
								73,660	46,06	0,01	-0,33
								73,680	46,08	0,01	-0,21
								73,700	46,10	0,00	-0,32
								73,720	46,10	0,00	-0,33
								73,740	46,08	-0,01	-0,21
								73,760	46,06	-0,01	-0,32
								73,780	46,03	-0,02	-0,44
								73,800	45,98	-0,03	-0,32
								73,820	45,91	-0,03	-0,32
								73,840	45,84	-0,04	-0,34
								73,860	45,74	-0,05	-0,11
								73,880	45,66	-0,05	-0,09
								73,900	45,55	-0,05	-0,32
								73,920	45,45	-0,06	-0,34
								73,940	45,31	-0,06	-0,11
								73,960	45,19	-0,06	-0,11
								73,980	45,06	-0,07	-0,10
								74,000	44,92	-0,07	-0,22
								74,020	44,78	-0,08	-0,23
								74,040	44,61	-0,08	0,01
								74,060	44,47	-0,08	-0,22
								74,080	44,30	-0,09	-0,12
								74,100	44,13	-0,08	0,12
								74,120	43,97	-0,08	-0,11
								74,140	43,80	-0,09	-0,11
								74,160	43,63	-0,09	-3,47E-14
								74,180	43,46	-0,09	0,00
								74,200	43,29	-0,09	-0,01
								74,220	43,11	-0,09	0,11
								74,240	42,94	-0,08	0,12
								74,260	42,79	-0,08	-0,11
								74,280	42,62	-0,09	-0,01
								74,300	42,44	-0,08	0,22
								74,320	42,29	-0,08	0,11
								74,340	42,13	-0,08	-0,01
								74,360	41,98	-0,08	0,10
								74,380	41,82	-0,07	0,22
								74,400	41,68	-0,07	0,11
								74,420	41,55	-0,07	-0,01
								74,440	41,41	-0,07	0,10
								74,460	41,27	-0,06	0,22
								74,480	41,15	-0,06	0,11
								74,500	41,03	-0,06	0,09
								74,520	40,91	-0,06	0,33
								74,540	40,80	-0,05	0,23
								74,560	40,72	-0,05	-0,12
								74,580	40,62	-0,05	0,09
								74,600	40,51	-0,04	0,34
								74,620	40,44	-0,04	0,11
								74,640	40,36	-0,04	0,11
								74,660	40,29	-0,03	0,11
								74,680	40,22	-0,03	0,09
								74,700	40,15	-0,03	0,33
								74,720	40,10	-0,02	0,23
								74,740	40,06	-0,02	-0,01
								74,760	40,01	-0,02	0,11
								74,780	39,97	-0,02	0,11
								74,800	39,94	-0,02	-0,01
								74,820	39,91	-0,02	0,10
								74,840	39,87	-0,01	0,22
								74,860	39,85	-0,01	0,11
								74,880	39,84	-0,01	0,10
								74,900	39,82	0,00	0,22
								74,920	39,82	0,00	0,11
								74,940	39,82	0,00	0,00
								74,960	39,82	0,00	0,00
								74,980	39,82	0,00	-0,01
								75,000	39,82	-2,49E-4	0,11
								75,020	39,82	0,00	0,11
								75,040	39,84	0,00	3,82E-14
								75,060	39,83	0,00	3,82E-14
								75,080	39,85	0,00	-0,01
								75,100	39,85	0,00	0,11
								75,120	39,87	0,01	0,11
								75,140	39,89	0,01	0,00
								75,160	39,90	0,01	-7,64E-14
								75,180	39,92	0,01	0,01
								75,200	39,94	0,01	-0,11
								75,220	39,96	0,00	-0,12
								75,240	39,95	0,00	0,11
								75,260	39,97	0,01	0,12
								75,280	39,99	0,01	-0,11
								75,300	40,01	0,00	-0,11
								75,320	40,01	0,00	3,82E-14
								75,340	40,02	0,00	-3,49E-15
								75,360	40,02	0,00	-3,49E-15
								75,380	40,04	0,00	-3,12E-14
								75,400	40,04	0,00	-6,94E-14
								75,420	40,06	0,00	-3,49E-15
								75,440	40,06	0,00	0,01
								75,460	40,08	0,00	-0,11
								75,480	40,08	0,00	-0,12
								75,500	40,08	-2,50E-4	0,11
								75,520	40,07	0,00	0,12
								75,540	40,09	0,00	-0,11
								75,560	40,09	0,00	-0,12
								75,580	40,09	-2,51E-4	0,11
								75,600	40,09	0,00	0,12
								75,620	40,11	0,00	-0,11
								75,640	40,11	-2,51E-4	-0,01
								75,660	40,11	0,00	0,11
								75,680	40,13	0,00	-0,01
								75,700	40,13	0,00	0,11
								75,720	40,14	0,01	0,11
								75,740	40,16	0,01	1,80E-13
								75,760	40,18	0,01	3,47E-14
								75,780	40,20	0,01	-0,01
								75,800	40,21	0,01	0,10
								75,820	40,23	0,01	0,22
								75,840	40,26	0,02	0,11
								75,860	40,30	0,02	-0,01
								75,880	40,33	0,02	0,11
								75,900	40,37	0,02	0,11
								75,920	40,42	0,02	-0,01
								75,940	40,45	0,02	0,10
								75,960	40,50	0,03	0,21
								75,980	40,55	0,03	0,22
								76,000	40,62	0,03	0,12
								76,020	40,69	0,03	-0,11
								76,040	40,76	0,03	-0,02
								76,060	40,81	0,03	0,33
								76,080	40,90	0,04	0,22
								76,100	40,98	0,04	0,11
								76,120	41,07	0,05	0,11
								76,140	41,17	0,05	0,10
								76,160	41,26	0,05	0,22
								76,180	41,38	0,06	0,11
								76,200	41,48	0,06	0,11
								76,220	41,60	0,06	0,11
								76,240	41,72	0,06	-0,01
								76,260	41,84	0,06	0,10
								76,280	41,96	0,06	0,23
								76,300	42,10	0,07	-8,03E-5
								76,320	42,24	0,06	-0,01
								76,340	42,35	0,07	0,23
								76,360	42,51	0,07	-8,56E-5
								76,380	42,65	0,07	-0,01
								76,400	42,78	0,07	0,11
								76,420	42,94	0,07	-0,01
								76,440	43,08	0,07	0,11
								76,460	43,23	0,08	0,01
								76,480	43,39	0,07	-0,11
								76,500	43,52	0,07	0,00
								76,520	43,68	0,07	-6,94E-14
								76,540	43,82	0,07	0,01
								76,560	43,97	0,07	-0,11
								76,580	44,11	0,07	-0,11
								76,600	44,25	0,07	0,01
								76,620	44,38	0,07	-0,11
								76,640	44,52	0,06	-0,11
								76,660	44,64	0,06	-0,10
								76,680	44,78	0,06	-0,22
								76,700	44,88	0,06	-0,10
								76,720	45,01	0,06	-0,21
								76,740	45,11	0,05	-0,34
								76,760	45,20	0,04	-0,11
								76,780	45,28	0,04	-0,10
								76,800	45,37	0,04	-0,21
								76,820	45,44	0,03	-0,21
								76,840	45,51	0,03	-0,21
								76,860	45,56	0,03	-0,32
								76,880	45,61	0,02	-0,44
								76,900	45,63	0,01	-0,22
								76,920	45,65	0,01	-0,09
								76,940	45,67	0,00	-0,32
								76,960	45,67	0,00	-0,33
								76,980	45,65	-0,01	-0,21
								77,000	45,63	-0,01	-0,32
								77,020	45,60	-0,02	-0,44
								77,040	45,55	-0,03	-0,32
								77,060	45,48	-0,03	-0,32
								77,080	45,41	-0,04	-0,44
								77,100	45,31	-0,05	-0,22
								77,120	45,21	-0,05	-0,20
								77,140	45,11	-0,06	-0,44
								77,160	44,97	-0,07	-0,22
								77,180	44,83	-0,07	-0,20
								77,200	44,70	-0,08	-0,44
								77,220	44,52	-0,09	-0,32
								77,240	44,35	-0,09	-0,32
								77,260	44,17	-0,10	-0,34
								77,280	43,96	-0,10	-0,10
								77,300	43,75	-0,10	-0,21
								77,320	43,55	-0,11	-0,33
								77,340	43,31	-0,12	-0,21
								77,360	43,08	-0,12	-0,33
								77,380	42,83	-0,13	-0,23
								77,400	42,57	-0,13	0,01
								77,420	42,31	-0,13	-0,10
								77,440	42,05	-0,13	-0,22
								77,460	41,78	-0,14	-0,22
								77,480	41,50	-0,14	-0,23
								77,500	41,21	-0,15	-0,01
								77,520	40,92	-0,14	0,12
								77,540	40,64	-0,14	-0,11
								77,560	40,35	-0,15	-0,11
								77,580	40,06	-0,15	-1,33E-12
								77,600	39,77	-0,15	-0,01
								77,620	39,47	-0,15	0,11
								77,640	39,18	-0,14	0,11
								77,660	38,91	-0,14	-0,01
								77,680	38,61	-0,14	0,10
								77,700	38,34	-0,14	0,22
								77,720	38,06	-0,13	0,22
								77,740	37,80	-0,13	0,22
								77,760	37,54	-0,12	0,22
								77,780	37,30	-0,12	0,21
								77,800	37,06	-0,12	0,32
								77,820	36,84	-0,11	0,33
								77,840	36,63	-0,10	0,21
								77,860	36,42	-0,10	0,32
								77,880	36,23	-0,09	0,44
								77,900	36,06	-0,08	0,32
								77,920	35,90	-0,08	0,31
								77,940	35,75	-0,07	0,54
								77,960	35,63	-0,06	0,44
								77,980	35,52	-0,05	0,32
								78,000	35,42	-0,04	0,43
								78,020	35,35	-0,03	0,42
								78,040	35,28	-0,03	0,54
								78,060	35,24	-0,01	0,54
								78,080	35,23	0,00	0,43
								78,100	35,22	0,00	0,42
								78,120	35,24	0,01	0,53
								78,140	35,27	0,03	0,66
								78,160	35,34	0,04	0,44
								78,180	35,43	0,04	0,31
								78,200	35,51	0,05	0,54
								78,220	35,63	0,06	0,54
								78,240	35,77	0,07	0,42
								78,260	35,92	0,08	0,54
								78,280	36,09	0,09	0,54
								78,300	36,30	0,10	0,43
								78,320	36,50	0,11	0,44
								78,340	36,74	0,12	0,32
								78,360	36,98	0,12	0,42
								78,380	37,24	0,14	0,55
								78,400	37,53	0,15	0,32
								78,420	37,82	0,15	0,32
								78,440	38,13	0,16	0,33
								78,460	38,46	0,16	0,21
								78,480	38,78	0,17	0,32
								78,500	39,13	0,18	0,44
								78,520	39,49	0,18	0,33
								78,540	39,86	0,19	0,11
								78,560	40,24	0,19	0,10
								78,580	40,62	0,19	0,22
								78,600	41,02	0,20	0,11
								78,620	41,41	0,20	-0,01
								78,640	41,81	0,20	0,10
								78,660	42,20	0,20	0,23
								78,680	42,61	0,21	0,01
								78,700	43,03	0,20	-0,22
								78,720	43,42	0,20	-0,11
								78,740	43,82	0,20	-1,76E-12
								78,760	44,21	0,20	0,01
								78,780	44,61	0,20	-0,10
								78,800	45,00	0,19	-0,21
								78,820	45,38	0,19	-0,21
								78,840	45,76	0,19	-0,32
								78,860	46,12	0,18	-0,33
								78,880	46,47	0,17	-0,21
								78,900	46,81	0,17	-0,21
								78,920	47,14	0,16	-0,31
								78,940	47,47	0,16	-0,54
								78,960	47,76	0,14	-0,54
								78,980	48,04	0,13	-0,44
								79,000	48,30	0,12	-0,31
								79,020	48,54	0,12	-0,41
								79,040	48,78	0,11	-0,65
								79,060	48,97	0,10	-0,54
								79,080	49,16	0,09	-0,54
								79,100	49,32	0,07	-0,54
								79,120	49,46	0,07	-0,52
								79,140	49,58	0,05	-0,75
								79,160	49,67	0,04	-0,77
								79,180	49,72	0,02	-0,55
								79,200	49,76	0,01	-0,41
								79,220	49,78	0,01	-0,64
								79,240	49,78	-0,01	-0,77
								79,260	49,73	-0,03	-0,53
								79,280	49,68	-0,03	-0,64
								79,300	49,60	-0,05	-0,76
								79,320	49,48	-0,06	-0,65
								79,340	49,34	-0,08	-0,65
								79,360	49,17	-0,09	-0,54
								79,380	48,98	-0,10	-0,53
								79,400	48,78	-0,11	-0,65
								79,420	48,54	-0,12	-0,65
								79,440	48,28	-0,14	-0,55
								79,460	47,99	-0,15	-0,32
								79,480	47,70	-0,15	-0,42
								79,500	47,39	-0,16	-0,65
								79,520	47,05	-0,18	-0,55
								79,540	46,69	-0,18	-0,44
								79,560	46,31	-0,19	-0,32
								79,580	45,92	-0,20	-0,31
								79,600	45,52	-0,21	-0,55
								79,620	45,09	-0,22	-0,34
								79,640	44,64	-0,22	0,02
								79,660	44,22	-0,22	-0,32
								79,680	43,77	-0,23	-0,46
								79,700	43,29	-0,24	-2,90E-4
								79,720	42,82	-0,23	0,01
								79,740	42,36	-0,24	-0,22
								79,760	41,88	-0,24	-0,23
								79,780	41,40	-0,25	-0,01
								79,800	40,89	-0,24	0,23
								79,820	40,43	-0,24	3,02E-4
								79,840	39,95	-0,24	-0,01
								79,860	39,47	-0,24	0,11
								79,880	39,00	-0,24	-0,01
								79,900	38,52	-0,24	0,20
								79,920	38,05	-0,23	0,44
								79,940	37,61	-0,22	0,33
								79,960	37,18	-0,22	0,21
								79,980	36,74	-0,21	0,32
								80,000	36,33	-0,20	0,44
								80,020	35,93	-0,19	0,32
								80,040	35,55	-0,19	0,31
								80,060	35,17	-0,18	0,54
								80,080	34,83	-0,17	0,54
								80,100	34,50	-0,16	0,53
								80,120	34,19	-0,15	0,65
								80,140	33,91	-0,13	0,54
								80,160	33,65	-0,13	0,55
								80,180	33,41	-0,11	0,31
								80,200	33,21	-0,11	0,51
								80,220	32,96	-0,09	1,21
								80,240	32,84	-0,06	0,54
								80,260	32,70	-0,07	0,51
								80,280	32,56	-0,04	1,21
								80,300	32,53	-0,02	0,54
								80,320	32,48	-0,02	0,41
								80,340	32,44	-0,01	0,87
								80,360	32,45	0,01	0,66
								80,380	32,49	0,02	0,30
								80,400	32,54	0,02	0,73
								80,420	32,59	0,05	1,32
								80,440	32,74	0,08	0,78
								80,460	32,90	0,08	0,19
								80,480	33,07	0,08	0,62
								80,500	33,24	0,11	1,10
								80,520	33,49	0,13	0,54
								80,540	33,75	0,13	0,41
								80,560	34,01	0,15	0,88
								80,580	34,33	0,16	0,55
								80,600	34,66	0,17	0,31
								80,620	35,00	0,18	0,53
								80,640	35,36	0,19	0,65
								80,660	35,75	0,20	0,55
								80,680	36,17	0,21	0,32
								80,700	36,60	0,21	0,32
								80,720	37,02	0,22	0,43
								80,740	37,49	0,23	0,43
								80,760	37,95	0,24	0,44
								80,780	38,45	0,25	0,22
								80,800	38,95	0,25	0,11
								80,820	39,44	0,25	0,11
								80,840	39,96	0,25	0,10
								80,860	40,46	0,26	0,23
								80,880	40,99	0,26	0,01
								80,900	41,51	0,26	-0,12
								80,920	42,02	0,26	0,11
								80,940	42,54	0,26	0,01
								80,960	43,07	0,26	-0,22
								80,980	43,57	0,25	-0,11
								81,000	44,09	0,25	-0,09
								81,020	44,58	0,25	-0,32
								81,040	45,09	0,24	-0,33
								81,060	45,55	0,24	-0,21
								81,080	46,03	0,23	-0,32
								81,100	46,48	0,22	-0,31
								81,120	46,93	0,22	-0,42
								81,140	47,36	0,21	-0,54
								81,160	47,75	0,20	-0,42
								81,180	48,15	0,19	-0,54
								81,200	48,51	0,18	-0,54
								81,220	48,86	0,17	-0,53
								81,240	49,19	0,16	-0,65
								81,260	49,48	0,14	-0,53
								81,280	49,76	0,13	-0,64
								81,300	50,02	0,12	-0,77
								81,320	50,23	0,10	-0,62
								81,340	50,43	0,09	0,64
								81,360	50,60	0,13	-0,77
								81,380	50,95	0,06	-2,14
								81,400	50,84	0,04	-0,65
								81,420	51,13	0,04	-0,61
								81,440	50,98	0,02	0,61
								81,460	51,20	0,06	-1,93
								81,480	51,22	-0,06	-2,11
								81,500	50,97	-0,02	0,60
								81,520	51,12	-0,03	-1,91
								81,540	50,83	-0,10	-0,84
								81,560	50,72	-0,07	0,51
								81,580	50,56	-0,08	-0,65
								81,600	50,39	-0,09	-0,65
								81,620	50,19	-0,11	-0,64
								81,640	49,97	-0,12	-0,75
								81,660	49,71	-0,14	-0,78
								81,680	49,42	-0,15	-0,43
								81,700	49,11	-0,15	-0,42
								81,720	48,80	-0,17	-0,65
								81,740	48,44	-0,18	-0,54
								81,760	48,08	-0,19	-0,55
								81,780	47,69	-0,20	-0,44
								81,800	47,28	-0,21	-0,32
								81,820	46,87	-0,21	-0,44
								81,840	46,42	-0,22	-0,32
								81,860	45,97	-0,23	-0,32
								81,880	45,51	-0,24	-0,34
								81,900	45,03	-0,24	-0,11
								81,920	44,54	-0,24	-0,09
								81,940	44,06	-0,24	-0,33
								81,960	43,57	-0,25	-0,23
								81,980	43,05	-0,25	2,22E-12
								82,000	42,55	-0,25	-2,19E-12
								82,020	42,03	-0,25	-2,19E-12
								82,040	41,53	-0,25	-0,01
								82,060	41,02	-0,25	0,11
								82,080	40,52	-0,25	3,18E-4
								82,100	40,02	-0,25	-0,02
								82,120	39,50	-0,25	0,32
								82,140	39,02	-0,24	0,33
								82,160	38,54	-0,24	0,21
								82,180	38,07	-0,23	0,32
								82,200	37,61	-0,22	0,44
								82,220	37,18	-0,22	0,32
								82,240	36,74	-0,21	0,32
								82,260	36,33	-0,20	0,31
								82,280	35,93	-0,20	0,53
								82,300	35,53	-0,18	0,77
								82,320	35,21	-0,17	0,43
								82,340	34,86	-0,16	0,42
								82,360	34,55	-0,15	0,65
								82,380	34,26	-0,14	0,54
								82,400	34,00	-0,13	0,54
								82,420	33,74	-0,12	0,53
								82,440	33,53	-0,11	0,74
								82,460	33,31	-0,09	1,11
								82,480	33,19	-0,06	0,43
								82,500	33,05	-0,07	0,40
								82,520	32,91	-0,05	1,10
								82,540	32,85	-0,03	0,65
								82,560	32,80	-0,02	0,53
								82,580	32,77	0,00	0,76
								82,600	32,78	0,01	0,66
								82,620	32,80	0,02	0,42
								82,640	32,87	0,02	0,62
								82,660	32,90	0,05	1,21
								82,680	33,05	0,07	0,55
								82,700	33,19	0,07	0,30
								82,720	33,32	0,09	0,87
								82,740	33,53	0,10	0,65
								82,760	33,73	0,11	0,54
								82,780	33,97	0,12	0,54
								82,800	34,23	0,13	0,54
								82,820	34,50	0,15	0,54
								82,840	34,81	0,15	0,42
								82,860	35,12	0,16	0,54
								82,880	35,46	0,18	0,43
								82,900	35,83	0,18	0,32
								82,920	36,19	0,19	0,44
								82,940	36,58	0,20	0,33
								82,960	36,98	0,20	0,21
								82,980	37,39	0,21	0,21
								83,000	37,80	0,21	0,32
								83,020	38,23	0,22	0,33
								83,040	38,67	0,22	0,11
								83,060	39,12	0,22	0,11
								83,080	39,57	0,23	0,11
								83,100	40,03	0,23	-0,01
								83,120	40,48	0,23	0,11
								83,140	40,94	0,23	0,01
								83,160	41,41	0,23	-0,22
								83,180	41,85	0,22	-0,11
								83,200	42,30	0,22	-0,11
								83,220	42,75	0,22	-0,11
								83,240	43,18	0,22	-0,09
								83,260	43,63	0,22	-0,33
								83,280	44,04	0,21	-0,21
								83,300	44,45	0,21	-0,20
								83,320	44,87	0,20	-0,44
								83,340	45,25	0,19	-0,32
								83,360	45,62	0,19	-0,32
								83,380	45,99	0,18	-0,32
								83,400	46,33	0,17	-0,30
								83,420	46,68	0,16	-0,64
								83,440	46,99	0,15	-0,67
								83,460	47,26	0,14	-0,31
								83,480	47,54	0,13	-0,42
								83,500	47,80	0,12	-0,54
								83,520	48,02	0,11	-0,41
								83,540	48,25	0,10	-0,64
								83,560	48,44	0,09	-0,66
								83,580	48,60	0,08	-0,41
								83,600	48,75	0,07	-0,64
								83,620	48,88	0,05	-0,77
								83,640	48,96	0,04	-0,54
								83,660	49,03	0,03	-0,42
								83,680	49,09	0,02	-0,53
								83,700	49,12	0,01	-0,64
								83,720	49,12	0,00	-0,65
								83,740	49,11	-0,02	-0,66
								83,760	49,06	-0,03	-0,43
								83,780	48,99	-0,03	-0,41
								83,800	48,93	-0,05	-0,76
								83,820	48,81	-0,06	-0,66
								83,840	48,67	-0,07	-0,43
								83,860	48,52	-0,08	-0,43
								83,880	48,35	-0,09	-0,43
								83,900	48,16	-0,10	-0,43
								83,920	47,95	-0,11	-0,42
								83,940	47,73	-0,12	-0,55
								83,960	47,49	-0,13	-0,45
								83,980	47,21	-0,13	-0,20
								84,000	46,96	-0,14	-0,43
								84,020	46,67	-0,15	-0,45
								84,040	46,36	-0,15	-0,22
								84,060	46,05	-0,16	-0,22
								84,080	45,72	-0,16	-0,22
								84,100	45,40	-0,17	-0,22
								84,120	45,05	-0,17	-0,11
								84,140	44,71	-0,17	-0,10
								84,160	44,36	-0,18	-0,22
								84,180	44,00	-0,18	-0,11
								84,200	43,64	-0,18	-0,11
								84,220	43,28	-0,18	-0,12
								84,240	42,90	-0,19	0,11
								84,260	42,54	-0,18	0,11
								84,280	42,18	-0,18	1,60E-12
								84,300	41,82	-0,18	-0,01
								84,320	41,46	-0,18	0,21
								84,340	41,09	-0,17	0,34
								84,360	40,77	-0,17	2,16E-4
								84,380	40,42	-0,17	-0,01
								84,400	40,08	-0,17	0,22
								84,420	39,75	-0,16	0,21
								84,440	39,42	-0,16	0,32
								84,460	39,11	-0,15	0,44
								84,480	38,82	-0,14	0,33
								84,500	38,54	-0,14	0,21
								84,520	38,27	-0,13	0,32
								84,540	38,01	-0,12	0,32
								84,560	37,77	-0,12	0,31
								84,580	37,52	-0,11	0,54
								84,600	37,32	-0,10	0,44
								84,620	37,13	-0,09	0,20
								84,640	36,94	-0,09	0,42
								84,660	36,76	-0,08	0,54
								84,680	36,63	-0,07	0,43
								84,700	36,49	-0,06	0,44
								84,720	36,38	-0,05	0,32
								84,740	36,28	-0,05	0,42
								84,760	36,19	-0,03	0,55
								84,780	36,14	-0,03	0,32
								84,800	36,09	-0,02	0,42
								84,820	36,05	-0,01	0,54
								84,840	36,05	-4,51E-4	0,43
								84,860	36,05	0,01	0,43
								84,880	36,08	0,02	0,43
								84,900	36,12	0,03	0,44
								84,920	36,19	0,03	0,32
								84,940	36,25	0,04	0,32
								84,960	36,34	0,05	0,32
								84,980	36,44	0,05	0,32
								85,000	36,54	0,06	0,44
								85,020	36,68	0,07	0,32
								85,040	36,82	0,07	0,32
								85,060	36,97	0,08	0,33
								85,080	37,14	0,09	0,21
								85,100	37,31	0,09	0,21
								85,120	37,50	0,09	0,21
								85,140	37,69	0,10	0,21
								85,160	37,90	0,10	0,21
								85,180	38,10	0,11	0,22
								85,200	38,33	0,11	0,11
								85,220	38,55	0,11	0,10
								85,240	38,77	0,12	0,22
								85,260	39,01	0,12	0,11
								85,280	39,25	0,12	-2,14E-12
								85,300	39,49	0,12	-2,14E-12
								85,320	39,74	0,12	2,14E-12
								85,340	39,98	0,12	-0,01
								85,360	40,22	0,12	0,11
								85,380	40,46	0,12	0,02
								85,400	40,72	0,12	-0,34
								85,420	40,94	0,11	-0,12
								85,440	41,16	0,12	0,11
								85,460	41,40	0,12	0,01
								85,480	41,63	0,12	-0,09
								85,500	41,87	0,11	-0,34
								85,520	42,08	0,10	-0,11
								85,540	42,28	0,11	0,02
