4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,140	3,140	3,140	48,38	34,36	0,16	-0,10	-0,12	-0,43	0,64	0,20	3,140	40,50	-0,23	0,44
3,160	3,160	3,160	48,69	34,15	0,15	-0,09	-0,11	-0,43	0,75	0,43	3,160	40,05	-0,22	0,32
3,180	3,180	3,180	48,98	33,99	0,14	-0,07	-0,10	-0,42	0,76	0,44	3,180	39,62	-0,22	0,31
3,200	3,200	3,200	49,26	33,85	0,13	-0,06	-0,10	-0,54	0,53	0,32	3,200	39,19	-0,21	0,54
3,220	3,220	3,220	49,52	33,75	0,12	-0,05	-0,09	-0,54	0,74	0,44	3,220	38,79	-0,19	0,54
3,240	3,240	3,240	49,74	33,64	0,11	-0,03	-0,08	-0,42	1,09	0,32	3,240	38,41	-0,19	0,54
3,260	3,260	3,260	49,97	33,63	0,10	-0,01	-0,07	-0,53	0,88	0,32	3,260	38,05	-0,17	0,54
3,280	3,280	3,280	50,16	33,61	0,09	0,00	-0,06	-0,64	0,53	0,44	3,280	37,72	-0,16	0,42
3,300	3,300	3,300	50,33	33,64	0,08	0,01	-0,06	-0,65	0,62	0,32	3,300	37,39	-0,16	0,64
3,320	3,320	3,320	50,47	33,66	0,07	0,03	-0,05	-0,54	1,09	0,32	3,320	37,10	-0,14	0,76
3,340	3,340	3,340	50,59	33,76	0,06	0,06	-0,04	-0,53	0,88	0,43	3,340	36,84	-0,13	0,53
3,360	3,360	3,360	50,70	33,88	0,04	0,06	-0,03	-0,65	0,53	0,43	3,360	36,60	-0,12	0,64
3,380	3,380	3,380	50,77	34,01	0,03	0,08	-0,03	-0,54	0,75	0,44	3,380	36,37	-0,10	0,76
3,400	3,400	3,400	50,82	34,18	0,02	0,09	-0,02	-0,53	0,76	0,22	3,400	36,20	-0,09	0,53
3,420	3,420	3,420	50,86	34,39	0,01	0,11	-0,02	-0,64	0,64	0,20	3,420	36,02	-0,08	0,64
