4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
12,000	-0,939	1,665	5,341	-0,0224	0,040	0,127	12,000	-1,241	5,655	-1,571	-0,0296	0,135	-0,037	12,000	-1,849	-14,546	56,706	-0,0441	-0,347	1,354	12,000	2,182	-3,016	-26,861	0,0521	-0,072	-0,641	12,000	-0,335	-2,372	-1,571	-0,0080	-0,057	-0,037	12,000	-0,188	0,126	10,524	-0,0045	0,003	0,251
12,050	-0,850	1,916	4,869	-0,0203	0,046	0,116	12,050	-0,960	5,482	-5,027	-0,0229	0,131	-0,120	12,050	-2,504	-11,388	68,173	-0,0598	-0,272	1,627	12,050	1,996	-4,273	-22,777	0,0477	-0,102	-0,544	12,050	-0,456	-2,325	3,770	-0,0109	-0,055	0,090	12,050	-0,168	0,613	8,639	-0,0040	0,015	0,206
12,100	-0,748	2,152	4,398	-0,0179	0,051	0,105	12,100	-0,693	5,152	-8,482	-0,0165	0,123	-0,202	12,100	-2,988	-7,728	76,341	-0,0713	-0,185	1,822	12,100	1,755	-5,294	-17,436	0,0419	-0,126	-0,416	12,100	-0,567	-1,995	8,954	-0,0135	-0,048	0,214	12,100	-0,127	0,990	6,440	-0,0030	0,024	0,154
12,150	-0,635	2,356	3,613	-0,0152	0,056	0,086	12,150	-0,445	4,634	-12,252	-0,0106	0,111	-0,293	12,150	-3,277	-3,754	79,954	-0,0782	-0,090	1,909	12,150	1,467	-6,016	-10,681	0,0350	-0,144	-0,255	12,150	-0,655	-1,429	13,038	-0,0156	-0,034	0,311	12,150	-0,069	1,257	3,456	-0,0016	0,030	0,083
12,200	-0,512	2,513	2,513	-0,0122	0,060	0,060	12,200	-0,229	3,927	-15,394	-0,0055	0,094	-0,368	12,200	-3,363	0,267	79,482	-0,0803	0,006	1,898	12,200	1,153	-6,362	-2,985	0,0275	-0,152	-0,071	12,200	-0,710	-0,691	15,080	-0,0170	-0,017	0,360	12,200	-0,002	1,335	-0,785	-3,7500E-5	0,032	-0,019
12,250	-0,383	2,608	1,414	-0,0092	0,062	0,034	12,250	-0,052	3,094	-18,064	-0,0012	0,074	-0,431	12,250	-3,250	4,194	77,126	-0,0776	0,100	1,841	12,250	0,831	-6,315	4,712	0,0198	-0,151	0,113	12,250	-0,724	0,079	14,294	-0,0173	0,002	0,341	12,250	0,064	1,178	-5,184	0,0015	0,028	-0,124
12,300	-0,251	2,655	0,314	-0,0060	0,063	0,007	12,300	0,080	2,121	-20,106	0,0019	0,051	-0,480	12,300	-2,944	7,980	73,042	-0,0703	0,190	1,744	12,300	0,522	-5,890	12,095	0,0124	-0,141	0,289	12,300	-0,702	0,738	12,409	-0,0168	0,018	0,296	12,300	0,116	0,817	-8,954	0,0028	0,019	-0,214
12,350	-0,118	2,639	-1,100	-0,0028	0,063	-0,026	12,350	0,160	1,084	-20,577	0,0038	0,026	-0,491	12,350	-2,452	11,498	65,816	-0,0585	0,275	1,571	12,350	0,242	-5,105	19,321	0,0058	-0,122	0,461	12,350	-0,650	1,319	10,681	-0,0155	0,031	0,255	12,350	0,146	0,283	-11,153	0,0035	0,007	-0,266
12,400	0,013	2,545	-2,356	3,0000E-4	0,061	-0,056	12,400	0,188	0,063	-19,949	0,0045	0,002	-0,476	12,400	-1,794	14,561	55,920	-0,0428	0,348	1,335	12,400	0,011	-3,958	25,761	2,6250E-4	-0,095	0,615	12,400	-0,570	1,806	8,482	-0,0136	0,043	0,203	12,400	0,145	-0,298	-10,839	0,0035	-0,007	-0,259
12,450	0,137	2,403	-3,613	0,0033	0,057	-0,086	12,450	0,167	-0,911	-18,850	0,0040	-0,022	-0,450	12,450	-0,996	17,090	44,139	-0,0238	0,408	1,054	12,450	-0,154	-2,529	30,002	-0,0037	-0,060	0,716	12,450	-0,470	2,168	5,341	-0,0112	0,052	0,128	12,450	0,116	-0,801	-8,796	0,0028	-0,019	-0,210
12,500	0,253	2,183	-5,027	0,0060	0,052	-0,120	12,500	0,097	-1,822	-17,750	0,0023	-0,044	-0,424	12,500	-0,085	18,975	29,845	-0,0020	0,453	0,712	12,500	-0,242	-0,958	31,573	-0,0058	-0,023	0,754	12,500	-0,353	2,340	0,785	-0,0084	0,056	0,019	12,500	0,064	-1,178	-5,812	0,0015	-0,028	-0,139
12,550	0,355	1,901	-6,283	0,0085	0,045	-0,150	12,550	-0,016	-2,686	-16,650	-3,7500E-4	-0,064	-0,397	12,550	0,902	20,075	14,137	0,0215	0,479	0,337	12,550	-0,250	0,628	30,945	-0,0060	0,015	0,739	12,550	-0,236	2,246	-4,241	-0,0056	0,054	-0,101	12,550	-0,002	-1,382	-1,728	-3,7500E-5	-0,033	-0,041
12,600	0,443	1,555	-7,697	0,0106	0,037	-0,184	12,600	-0,171	-3,487	-15,237	-0,0041	-0,083	-0,364	12,600	1,923	20,389	-1,885	0,0459	0,487	-0,045	12,600	-0,179	2,136	28,903	-0,0043	0,051	0,690	12,600	-0,129	1,916	-8,639	-0,0031	0,046	-0,206	12,600	-0,074	-1,351	3,299	-0,0018	-0,032	0,079
12,650	0,511	1,131	-8,639	0,0122	0,027	-0,206	12,650	-0,364	-4,210	-13,195	-0,0087	-0,101	-0,315	12,650	2,941	19,886	-18,535	0,0702	0,475	-0,443	12,650	-0,036	3,519	25,604	-8,6250E-4	0,084	0,611	12,650	-0,044	1,382	-12,409	-0,0011	0,033	-0,296	12,650	-0,137	-1,052	8,168	-0,0033	-0,025	0,195
12,700	0,556	0,691	-8,796	0,0133	0,017	-0,210	12,700	-0,592	-4,807	-10,681	-0,0141	-0,115	-0,255	12,700	3,911	18,535	-34,715	0,0934	0,443	-0,829	12,700	0,173	4,697	20,892	0,0041	0,112	0,499	12,700	0,009	0,675	-14,765	2,2500E-4	0,016	-0,353	12,700	-0,179	-0,534	10,839	-0,0043	-0,013	0,259
12,750	0,580	0,251	-8,482	0,0138	0,006	-0,202	12,750	-0,845	-5,278	-7,854	-0,0202	-0,126	-0,187	12,750	4,794	16,415	-49,637	0,1145	0,392	-1,185	12,750	0,434	5,608	15,080	0,0103	0,134	0,360	12,750	0,024	-0,094	-14,923	5,6250E-4	-0,002	-0,356	12,750	-0,190	0,031	10,367	-0,0045	7,500E-4	0,247
12,800	0,581	-0,157	-7,540	0,0139	-0,004	-0,180	12,800	-1,120	-5,592	-4,241	-0,0267	-0,133	-0,101	12,800	5,553	13,572	-62,518	0,1326	0,324	-1,492	12,800	0,734	6,205	8,011	0,0175	0,148	0,191	12,800	2,082E-17	-0,817	-13,823	-1,1601E-17	-0,019	-0,330	12,800	-0,176	0,503	8,796	-0,0042	0,012	0,210
12,850	0,564	-0,503	-6,754	0,0135	-0,012	-0,161	12,850	-1,404	-5,702	-0,628	-0,0335	-0,136	-0,015	12,850	6,151	10,163	-72,728	0,1469	0,243	-1,736	12,850	1,054	6,409	0,157	0,0252	0,153	0,004	12,850	-0,058	-1,477	-11,781	-0,0014	-0,035	-0,281	12,850	-0,140	0,911	7,226	-0,0033	0,022	0,173
12,900	0,531	-0,833	-6,597	0,0127	-0,020	-0,158	12,900	-1,690	-5,655	2,670	-0,0403	-0,135	0,064	12,900	6,569	6,299	-80,111	0,1568	0,150	-1,913	12,900	1,374	6,220	-7,697	0,0328	0,149	-0,184	12,900	-0,148	-1,995	-8,482	-0,0035	-0,048	-0,203	12,900	-0,085	1,225	4,241	-0,0020	0,029	0,101
12,950	0,481	-1,162	-6,440	0,0115	-0,028	-0,154	12,950	-1,970	-5,435	6,283	-0,0470	-0,130	0,150	12,950	6,781	2,152	-83,566	0,1619	0,051	-1,995	12,950	1,676	5,639	-15,237	0,0400	0,135	-0,364	12,950	-0,258	-2,325	-4,555	-0,0062	-0,056	-0,109	12,950	-0,017	1,335	-0,157	-4,1250E-4	0,032	-0,004
13,000	0,415	-1,477	-6,440	0,0099	-0,035	-0,154	13,000	-2,234	-5,027	10,367	-0,0533	-0,120	0,248	13,000	6,784	-2,058	-83,095	0,1620	-0,049	-1,984	13,000	1,938	4,697	-21,991	0,0463	0,112	-0,525	13,000	-0,380	-2,450	0,314	-0,0091	-0,059	0,008	13,000	0,049	1,210	-4,398	0,0012	0,029	-0,105
13,050	0,333	-1,806	-6,283	0,0079	-0,043	-0,150	13,050	-2,472	-4,398	14,294	-0,0590	-0,105	0,341	13,050	6,575	-6,158	-79,011	0,1570	-0,147	-1,886	13,050	2,146	3,440	-27,803	0,0512	0,082	-0,664	13,050	-0,503	-2,293	5,969	-0,0120	-0,055	0,142	13,050	0,104	0,895	-8,168	0,0025	0,021	-0,195
13,100	0,234	-2,105	-5,655	0,0056	-0,050	-0,135	13,100	-2,673	-3,597	17,122	-0,0638	-0,086	0,409	13,100	6,169	-9,959	-71,943	0,1473	-0,238	-1,718	13,100	2,282	1,916	-31,259	0,0545	0,046	-0,746	13,100	-0,609	-1,854	10,996	-0,0146	-0,044	0,262	13,100	0,138	0,393	-10,681	0,0033	0,009	-0,255
13,150	0,123	-2,372	-5,027	0,0029	-0,057	-0,120	13,150	-2,832	-2,686	19,792	-0,0676	-0,064	0,473	13,150	5,579	-13,352	-62,675	0,1332	-0,319	-1,496	13,150	2,337	0,314	-31,573	0,0558	0,008	-0,754	13,150	-0,688	-1,194	14,294	-0,0164	-0,029	0,341	13,150	0,143	-0,173	-10,996	0,0034	-0,004	-0,263
13,200	-0,003	-2,608	-3,927	-7,5000E-5	-0,062	-0,094	13,200	-2,942	-1,618	21,834	-0,0702	-0,039	0,521	13,200	4,833	-16,226	-50,737	0,1154	-0,387	-1,211	13,200	2,314	-1,241	-30,159	0,0552	-0,030	-0,720	13,200	-0,729	-0,424	15,237	-0,0174	-0,010	0,364	13,200	0,121	-0,707	-9,425	0,0029	-0,017	-0,225
13,250	-0,138	-2,765	-2,513	-0,0033	-0,066	-0,060	13,250	-2,994	-0,503	21,363	-0,0715	-0,012	0,510	13,250	3,957	-18,425	-36,443	0,0945	-0,440	-0,870	13,250	2,213	-2,702	-27,646	0,0528	-0,065	-0,660	13,250	-0,730	0,330	13,980	-0,0174	0,008	0,334	13,250	0,072	-1,115	-6,283	0,0017	-0,027	-0,150
13,300	-0,280	-2,859	-1,100	-0,0067	-0,068	-0,026	13,300	-2,992	0,518	19,949	-0,0714	0,012	0,476	13,300	2,991	-19,871	-21,049	0,0714	-0,474	-0,502	13,300	2,044	-4,006	-23,876	0,0488	-0,096	-0,570	13,300	-0,696	0,974	11,781	-0,0166	0,023	0,281	13,300	0,009	-1,335	-2,356	2,2500E-4	-0,032	-0,056
13,350	-0,424	-2,875	0,628	-0,0101	-0,069	0,015	13,350	-2,942	1,492	18,850	-0,0702	0,036	0,450	13,350	1,970	-20,530	-4,869	0,0470	-0,490	-0,116	13,350	1,813	-5,089	-18,692	0,0433	-0,122	-0,446	13,350	-0,633	1,508	10,053	-0,0151	0,036	0,240	13,350	-0,061	-1,351	2,199	-0,0015	-0,032	0,052
13,400	-0,567	-2,796	2,513	-0,0135	-0,067	0,060	13,400	-2,843	2,403	17,593	-0,0679	0,057	0,420	13,400	0,938	-20,358	11,310	0,0224	-0,486	0,270	13,400	1,535	-5,875	-12,252	0,0366	-0,140	-0,293	13,400	-0,545	1,979	7,854	-0,0130	0,047	0,188	13,400	-0,126	-1,115	7,226	-0,0030	-0,027	0,173
13,450	-0,704	-2,623	4,398	-0,0168	-0,063	0,105	13,450	-2,702	3,252	16,336	-0,0645	0,078	0,390	13,450	-0,066	-19,399	27,175	-0,0016	-0,463	0,649	13,450	1,225	-6,315	-4,869	0,0292	-0,151	-0,116	13,450	-0,435	2,293	3,770	-0,0104	0,055	0,090	13,450	-0,173	-0,628	10,524	-0,0041	-0,015	0,251
13,500	-0,829	-2,356	6,126	-0,0198	-0,056	0,146	13,500	-2,518	4,037	14,451	-0,0601	0,096	0,345	13,500	-1,002	-17,640	42,569	-0,0239	-0,421	1,016	13,500	0,903	-6,362	2,827	0,0216	-0,152	0,068	13,500	-0,316	2,356	-1,100	-0,0075	0,056	-0,026	13,500	-0,188	-0,063	10,681	-0,0045	-0,002	0,255
13,550	-0,939	-2,011	7,540	-0,0224	-0,048	0,180	13,550	-2,298	4,697	11,624	-0,0549	0,112	0,277	13,550	-1,830	-15,142	56,392	-0,0437	-0,362	1,346	13,550	0,589	-6,032	10,524	0,0141	-0,144	0,251	13,550	-0,199	2,183	-5,655	-0,0048	0,052	-0,135	13,550	-0,179	0,440	9,268	-0,0043	0,010	0,221
13,600	-1,030	-1,602	8,639	-0,0246	-0,038	0,206	13,600	-2,048	5,199	8,639	-0,0489	0,124	0,206	13,600	-2,516	-12,001	68,330	-0,0601	-0,286	1,631	13,600	0,300	-5,309	18,064	0,0072	-0,127	0,431	13,600	-0,097	1,791	-10,053	-0,0023	0,043	-0,240	13,600	-0,145	0,864	7,383	-0,0034	0,021	0,176
13,650	-1,100	-1,147	9,425	-0,0263	-0,027	0,225	13,650	-1,778	5,561	5,498	-0,0424	0,133	0,131	13,650	-3,030	-8,310	77,126	-0,0723	-0,198	1,841	13,650	0,058	-4,225	24,504	0,0014	-0,101	0,585	13,650	-0,020	1,178	-13,509	-4,8750E-4	0,028	-0,323	13,650	-0,093	1,178	4,712	-0,0022	0,028	0,113
13,700	-1,145	-0,660	9,739	-0,0273	-0,016	0,233	13,700	-1,492	5,749	1,728	-0,0356	0,137	0,041	13,700	-3,347	-4,288	81,053	-0,0799	-0,102	1,935	13,700	-0,123	-2,859	29,060	-0,0029	-0,068	0,694	13,700	0,020	0,440	-15,080	4,8750E-4	0,011	-0,360	13,700	-0,027	1,335	0,942	-6,3750E-4	0,032	0,023
13,750	-1,166	-0,173	8,482	-0,0278	-0,004	0,202	13,750	-1,203	5,733	-2,042	-0,0287	0,137	-0,049	13,750	-3,459	-0,204	81,210	-0,0826	-0,005	1,939	13,750	-0,228	-1,319	31,416	-0,0054	-0,032	0,750	13,750	0,024	-0,330	-14,923	5,6250E-4	-0,008	-0,356	13,750	0,041	1,272	-3,613	9,7500E-4	0,030	-0,086
13,800	-1,162	0,188	5,969	-0,0278	0,004	0,142	13,800	-0,919	5,545	-5,498	-0,0219	0,132	-0,131	13,800	-3,368	3,833	79,168	-0,0804	0,091	1,890	13,800	-0,254	0,283	31,573	-0,0061	0,007	0,754	13,800	-0,013	-1,052	-13,352	-3,0000E-4	-0,025	-0,319	13,800	0,101	0,974	-8,011	0,0024	0,023	-0,191
13,850	-1,147	0,424	4,712	-0,0274	0,010	0,112	13,850	-0,649	5,184	-9,268	-0,0155	0,124	-0,221	13,850	-3,076	7,713	74,770	-0,0734	0,184	1,785	13,850	-0,199	1,838	29,531	-0,0048	0,044	0,705	13,850	-0,082	-1,665	-10,839	-0,0020	-0,040	-0,259	13,850	0,138	0,471	-10,524	0,0033	0,011	-0,251
13,900	-1,120	0,660	4,712	-0,0267	0,016	0,113	13,900	-0,401	4,618	-13,038	-0,0096	0,110	-0,311	13,900	-2,597	11,310	68,016	-0,0620	0,270	1,624	13,900	-0,071	3,236	26,232	-0,0017	0,077	0,626	13,900	-0,179	-2,136	-7,383	-0,0043	-0,051	-0,176	13,900	0,148	-0,079	-10,839	0,0035	-0,002	-0,259
13,950	-1,081	0,895	5,184	-0,0258	0,021	0,124	13,950	-0,187	3,880	-16,022	-0,0045	0,093	-0,383	13,950	-1,945	14,514	58,591	-0,0464	0,347	1,399	13,950	0,124	4,461	21,991	0,0030	0,107	0,525	13,950	-0,295	-2,403	-2,827	-0,0071	-0,057	-0,068	13,950	0,130	-0,613	-9,896	0,0031	-0,015	-0,236
14,000	-1,030	1,178	5,655	-0,0246	0,028	0,135	14,000	-0,013	3,016	-18,535	-3,0000E-4	0,072	-0,443	14,000	-1,145	17,169	46,496	-0,0273	0,410	1,110	14,000	0,375	5,435	16,336	0,0090	0,130	0,390	14,000	-0,419	-2,419	2,356	-0,0100	-0,058	0,056	14,000	0,086	-1,068	-7,226	0,0021	-0,026	-0,172
14,050	-0,963	1,461	5,341	-0,0230	0,035	0,127	14,050	0,115	2,026	-20,577	0,0027	0,048	-0,491	14,050	-0,228	19,164	32,044	-0,0054	0,457	0,765	14,050	0,668	6,095	9,425	0,0159	0,145	0,225	14,050	-0,537	-2,168	7,540	-0,0128	-0,052	0,180	14,050	0,024	-1,335	-3,142	5,6250E-4	-0,032	-0,075
14,100	-0,884	1,712	5,184	-0,0211	0,041	0,124	14,100	0,190	0,958	-21,206	0,0045	0,023	-0,506	14,100	0,771	20,373	16,336	0,0184	0,486	0,390	14,100	0,985	6,377	1,885	0,0235	0,152	0,045	14,100	-0,636	-1,665	12,095	-0,0152	-0,040	0,289	14,100	-0,047	-1,382	1,414	-0,0011	-0,033	0,034
14,150	-0,792	1,979	4,869	-0,0189	0,047	0,116	14,150	0,210	-0,094	-20,263	0,0050	-0,002	-0,484	14,150	1,810	20,797	0,000	0,0432	0,497	1,110E-15	14,150	1,305	6,283	-5,812	0,0312	0,150	-0,139	14,150	-0,704	-0,958	14,923	-0,0168	-0,023	0,356	14,150	-0,115	-1,194	6,126	-0,0027	-0,029	0,146
14,200	-0,686	2,199	3,927	-0,0164	0,053	0,094	14,200	0,181	-1,068	-19,007	0,0043	-0,026	-0,454	14,200	2,851	20,373	-17,279	0,0681	0,486	-0,413	14,200	1,613	5,796	-13,509	0,0385	0,138	-0,323	14,200	-0,732	-0,173	14,923	-0,0175	-0,004	0,356	14,200	-0,167	-0,770	9,896	-0,0040	-0,018	0,236
14,250	-0,572	2,372	2,985	-0,0136	0,057	0,071	14,250	0,104	-1,995	-18,064	0,0025	-0,048	-0,431	14,250	3,847	19,069	-33,929	0,0918	0,455	-0,810	14,250	1,885	4,932	-20,420	0,0450	0,118	-0,488	14,250	-0,721	0,534	13,195	-0,0172	0,013	0,315	14,250	-0,192	-0,204	11,153	-0,0046	-0,005	0,266
14,300	-0,449	2,498	2,199	-0,0107	0,060	0,052	14,300	-0,019	-2,875	-16,808	-4,5000E-4	-0,069	-0,401	14,300	4,758	16,980	-49,009	0,1136	0,405	-1,170	14,300	2,106	3,754	-26,546	0,0503	0,090	-0,634	14,300	-0,679	1,147	11,624	-0,0162	0,027	0,277	14,300	-0,187	0,346	9,896	-0,0045	0,008	0,236
14,350	-0,322	2,592	1,414	-0,0077	0,062	0,034	14,350	-0,184	-3,676	-15,237	-0,0044	-0,088	-0,364	14,350	5,545	14,169	-62,361	0,1324	0,338	-1,489	14,350	2,260	2,278	-30,788	0,0540	0,054	-0,735	14,350	-0,606	1,696	9,582	-0,0145	0,041	0,229	14,350	-0,157	0,785	7,854	-0,0037	0,019	0,187
14,400	-0,190	2,639	0,157	-0,0045	0,063	0,004	14,400	-0,386	-4,398	-13,038	-0,0092	-0,105	-0,311	14,400	6,175	10,744	-73,356	0,1474	0,257	-1,751	14,400	2,334	0,675	-31,730	0,0557	0,016	-0,758	14,400	-0,509	2,105	6,440	-0,0122	0,050	0,154	14,400	-0,108	1,131	5,341	-0,0026	0,027	0,128
14,450	-0,058	2,608	-1,257	-0,0014	0,062	-0,030	14,450	-0,624	-4,979	-10,053	-0,0149	-0,119	-0,240	14,450	6,619	6,833	-81,210	0,1580	0,163	-1,939	14,450	2,328	-0,895	-30,631	0,0556	-0,021	-0,731	14,450	-0,396	2,340	2,356	-0,0095	0,056	0,056	14,450	-0,044	1,319	1,728	-0,0010	0,032	0,041
14,500	0,071	2,513	-2,670	0,0017	0,060	-0,064	14,500	-0,884	-5,404	-7,069	-0,0211	-0,129	-0,169	14,500	6,858	2,623	-84,980	0,1637	0,063	-2,029	14,500	2,245	-2,388	-28,431	0,0536	-0,057	-0,679	14,500	-0,275	2,340	-2,670	-0,0066	0,056	-0,064	14,500	0,024	1,304	-2,513	5,6250E-4	0,031	-0,060
14,550	0,193	2,340	-4,241	0,0046	0,056	-0,101	14,550	-1,164	-5,686	-3,770	-0,0278	-0,136	-0,090	14,550	6,882	-1,665	-84,823	0,1643	-0,040	-2,025	14,550	2,089	-3,738	-24,819	0,0499	-0,089	-0,592	14,550	-0,162	2,073	-7,383	-0,0039	0,049	-0,176	14,550	0,086	1,068	-6,912	0,0021	0,025	-0,165
14,600	0,305	2,089	-5,655	0,0073	0,050	-0,135	14,600	-1,453	-5,781	-1,030E-12	-0,0347	-0,138	-2,415E-14	14,600	6,692	-5,859	-81,210	0,1598	-0,140	-1,939	14,600	1,871	-4,869	-19,949	0,0447	-0,116	-0,476	14,600	-0,068	1,602	-11,467	-0,0016	0,038	-0,274	14,600	0,130	0,613	-10,210	0,0031	0,015	-0,244
14,650	0,402	1,775	-6,754	0,0096	0,042	-0,161	14,650	-1,742	-5,686	3,613	-0,0416	-0,136	0,086	14,650	6,296	-9,786	-74,299	0,1503	-0,234	-1,774	14,650	1,602	-5,733	-13,980	0,0382	-0,137	-0,334	14,650	-0,002	0,927	-14,451	-3,7500E-5	0,022	-0,345	14,650	0,148	0,047	-11,310	0,0035	0,001	-0,270
14,700	0,482	1,414	-7,697	0,0115	0,034	-0,184	14,700	-2,022	-5,419	7,383	-0,0483	-0,129	0,176	14,700	5,713	-13,289	-64,874	0,1364	-0,317	-1,549	14,700	1,297	-6,267	-6,597	0,0310	-0,150	-0,158	14,700	0,025	0,157	-15,080	6,0000E-4	0,004	-0,360	14,700	0,135	-0,518	-10,210	0,0032	-0,012	-0,244
14,750	0,543	1,005	-8,639	0,0130	0,024	-0,206	14,750	-2,284	-4,948	11,310	-0,0545	-0,118	0,270	14,750	4,967	-16,273	-52,936	0,1186	-0,389	-1,264	14,750	0,975	-6,393	1,257	0,0233	-0,153	0,030	14,750	0,014	-0,581	-14,294	3,3750E-4	-0,014	-0,341	14,750	0,096	-0,974	-7,697	0,0023	-0,023	-0,184
14,800	0,583	0,550	-9,268	0,0139	0,013	-0,221	14,800	-2,516	-4,288	14,923	-0,0601	-0,102	0,356	14,800	4,086	-18,583	-38,485	0,0975	-0,444	-0,919	14,800	0,658	-6,142	8,639	0,0157	-0,147	0,206	14,800	-0,033	-1,272	-12,881	-7,8750E-4	-0,030	-0,307	14,800	0,038	-1,288	-4,241	9,0000E-4	-0,031	-0,101
14,850	0,598	0,079	-8,796	0,0143	0,002	-0,210	14,850	-2,713	-3,456	18,064	-0,0648	-0,083	0,431	14,850	3,109	-20,122	-22,934	0,0742	-0,480	-0,548	14,850	0,361	-5,529	16,179	0,0086	-0,132	0,386	14,850	-0,113	-1,869	-10,053	-0,0027	-0,045	-0,240	14,850	-0,033	-1,398	0,314	-7,8750E-4	-0,033	0,007
14,900	0,591	-0,330	-7,854	0,0141	-0,008	-0,188	14,900	-2,862	-2,482	20,420	-0,0683	-0,059	0,488	14,900	2,073	-20,876	-6,754	0,0495	-0,498	-0,161	14,900	0,105	-4,524	23,091	0,0025	-0,108	0,551	14,900	-0,220	-2,278	-5,812	-0,0053	-0,054	-0,139	14,900	-0,102	-1,257	5,341	-0,0024	-0,030	0,128
14,950	0,565	-0,707	-7,540	0,0135	-0,017	-0,180	14,950	-2,961	-1,414	21,677	-0,0707	-0,034	0,518	14,950	1,021	-20,797	10,053	0,0244	-0,497	0,240	14,950	-0,091	-3,220	28,274	-0,0022	-0,077	0,675	14,950	-0,341	-2,450	-0,942	-0,0081	-0,059	-0,023	14,950	-0,159	-0,864	9,425	-0,0038	-0,021	0,225
15,000	0,520	-1,084	-7,383	0,0124	-0,026	-0,176	15,000	-3,003	-0,314	21,363	-0,0717	-0,008	0,510	15,000	-0,006	-19,871	26,389	-1,5000E-4	-0,474	0,630	15,000	-0,217	-1,696	31,259	-0,0052	-0,041	0,746	15,000	-0,465	-2,372	4,241	-0,0111	-0,057	0,101	15,000	-0,188	-0,314	10,996	-0,0045	-0,008	0,262
15,050	0,457	-1,445	-7,069	0,0109	-0,034	-0,169	15,050	-2,992	0,723	19,949	-0,0714	0,017	0,476	15,050	-0,966	-18,158	41,783	-0,0231	-0,433	0,997	15,050	-0,261	-0,094	31,573	-0,0062	-0,002	0,754	15,050	-0,578	-2,026	9,268	-0,0138	-0,048	0,221	15,050	-0,190	0,236	10,210	-0,0045	0,006	0,244
15,100	0,375	-1,791	-6,597	0,0090	-0,043	-0,158	15,100	-2,931	1,681	18,535	-0,0700	0,040	0,442	15,100	-1,822	-15,692	56,392	-0,0435	-0,375	1,346	15,100	-0,226	1,461	30,002	-0,0054	0,035	0,716	15,100	-0,668	-1,445	13,509	-0,0159	-0,035	0,322	15,100	-0,165	0,707	8,482	-0,0039	0,017	0,202
15,150	0,278	-2,105	-6,126	0,0066	-0,050	-0,146	15,150	-2,824	2,576	17,279	-0,0674	0,062	0,412	15,150	-2,535	-12,519	68,487	-0,0605	-0,299	1,635	15,150	-0,115	2,906	27,175	-0,0027	0,069	0,649	15,150	-0,723	-0,675	15,551	-0,0173	-0,016	0,371	15,150	-0,119	1,084	5,969	-0,0028	0,026	0,143
15,200	0,165	-2,403	-5,341	0,0039	-0,057	-0,128	15,200	-2,673	3,409	15,865	-0,0638	0,081	0,379	15,200	-3,074	-8,844	77,126	-0,0734	-0,211	1,841	15,200	0,064	4,178	23,405	0,0015	0,100	0,559	15,200	-0,735	0,110	14,608	-0,0176	0,003	0,349	15,200	-0,057	1,304	2,356	-0,0013	0,031	0,056
15,250	0,038	-2,639	-4,241	9,0000E-4	-0,063	-0,101	15,250	-2,483	4,163	13,823	-0,0593	0,099	0,330	15,250	-3,420	-4,807	82,153	-0,0816	-0,115	1,961	15,250	0,303	5,246	18,221	0,0072	0,125	0,435	15,250	-0,712	0,785	12,566	-0,0170	0,019	0,300	15,250	0,011	1,319	-1,728	2,6250E-4	0,032	-0,041
