FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
1,87	1,87	0,00	0,00	1,260				-0,027	1,728	-22,580	-6,3750E-4	0,041	-0,539		1,260				-0,833	-19,792	-32,398	-0,0199	-0,472	-0,773	
1,89	1,89	8,40E-4	0,00	1,280				0,003	1,296	-22,580	7,5000E-5	0,031	-0,539		1,280				-1,235	-18,810	119,773	-0,0295	-0,449	2,859	
1,92	1,92	0,00	0,00	1,300	99,71	99,75	-0,04	0,025	0,825	-23,562	6,0000E-4	0,020	-0,562	24,5	1,300	98,30	99,76	-1,46	-1,585	-15,001	244,455	-0,0378	-0,358	5,836	24,6
1,94	1,94	0,00	0,00	1,320				0,036	0,353	-23,562	8,6250E-4	0,008	-0,562		1,320				-1,835	-9,032	322,013	-0,0438	-0,216	7,687	
1,97	1,97	0,00	0,00	1,340				0,039	-0,118	-25,525	9,3750E-4	-0,003	-0,609		1,340				-1,946	-2,121	352,448	-0,0465	-0,051	8,414	
1,99	1,99	0,00	0,00	1,350	99,66	99,75	-0,09								1,350	99,29	99,77	-0,48							
2,01	2,01	0,00	0,00	1,360				0,031	-0,668	-25,525	7,5000E-4	-0,016	-0,609		1,360				-1,920	5,066	348,521	-0,0458	0,121	8,320	
2,04	2,04	0,00	0,00	1,380				0,013	-1,139	-24,544	3,0000E-4	-0,027	-0,586		1,380				-1,744	11,820	295,506	-0,0416	0,282	7,055	
2,06	2,06	0,00	0,00	1,400	99,62	99,75	-0,13	-0,014	-1,649	-25,525	-3,3750E-4	-0,039	-0,609	24,5	1,400	100,07	99,76	0,31	-1,447	16,886	192,423	-0,0345	0,403	4,594	24,6
2,09	2,09	0,00	0,00	1,420				-0,053	-2,160	-23,562	-0,0013	-0,052	-0,563		1,420				-1,068	19,517	55,960	-0,0255	0,466	1,336	
2,11	2,11	0,00	0,00	1,440				-0,101	-2,592	-21,598	-0,0024	-0,062	-0,516		1,440				-0,666	19,124	-99,157	-0,0159	0,457	-2,367	
2,14	2,14	0,00	0,00	1,450	99,58	99,75	-0,17								1,450	101,26	99,76	1,50							
2,16	2,16	0,00	0,00	1,460				-0,157	-3,024	-20,617	-0,0037	-0,072	-0,492		1,460				-0,303	15,551	-245,437	-0,0072	0,371	-5,859	
2,19	2,19	0,00	0,00	1,480				-0,221	-3,416	-17,671	-0,0053	-0,082	-0,422		1,480				-0,044	9,307	-348,521	-0,0011	0,222	-8,320	
2,21	2,21	0,00	0,00	1,500	99,55	99,75	-0,20	-0,294	-3,731	-14,726	-0,0070	-0,089	-0,352	24,5	1,500	100,18	99,76	0,42	0,069	1,610	-394,663	0,0016	0,038	-9,422	24,6
2,23	2,23	0,00	0,00	1,520				-0,371	-4,006	-14,726	-0,0088	-0,096	-0,352		1,520				0,020	-6,480	-379,937	4,8750E-4	-0,155	-9,070	
2,26	2,26	0,00	0,00	1,540				-0,454	-4,320	-11,781	-0,0108	-0,103	-0,281		1,540				-0,190	-13,587	-294,525	-0,0045	-0,324	-7,031	
2,28	2,28	0,00	0,00	1,550	99,51	99,75	-0,24								1,550	98,97	99,76	-0,79							
2,31	2,31	0,00	0,00	1,560				-0,543	-4,477	-6,872	-0,0130	-0,107	-0,164		1,560				-0,523	-18,261	-156,098	-0,0125	-0,436	-3,727	
2,33	2,33	0,00	0,00	1,580				-0,633	-4,595	-6,872	-0,0151	-0,110	-0,164		1,580				-0,920	-19,831	0,982	-0,0220	-0,473	0,023	
2,36	2,36	0,00	0,00	1,600	99,49	99,75	-0,26	-0,727	-4,752	-4,909	-0,0174	-0,113	-0,117	24,5	1,600	98,28	99,77	-1,48	-1,316	-18,221	151,189	-0,0314	-0,435	3,609	24,6
2,38	2,38	0,00	0,00	1,620				-0,823	-4,791	-0,982	-0,0196	-0,114	-0,023		1,620				-1,649	-13,784	266,054	-0,0394	-0,329	6,352	
2,40	2,40	0,00	0,00	1,640				-0,919	-4,791	-6,661E-13	-0,0219	-0,114	-1,596E-14		1,640				-1,868	-7,579	327,904	-0,0446	-0,181	7,828	
2,43	2,43	0,00	0,00	1,650	99,45	99,75	-0,30								1,650	98,89	99,76	-0,87							
2,45	2,45	0,00	0,00	1,660				-1,015	-4,791	1,963	-0,0242	-0,114	0,047		1,660				-1,953	-0,668	350,484	-0,0466	-0,016	8,367	
2,48	2,48	0,00	0,00	1,680				-1,111	-4,712	4,909	-0,0265	-0,113	0,117		1,680				-1,894	6,440	340,667	-0,0452	0,154	8,133	
2,50	2,50	0,00	0,00	1,700	99,44	99,75	-0,31	-1,203	-4,595	5,890	-0,0287	-0,110	0,141	24,5	1,700	99,68	99,76	-0,08	-1,695	12,959	279,798	-0,0405	0,309	6,680	24,6
2,53	2,53	0,00	0,00	1,720				-1,294	-4,477	7,854	-0,0309	-0,107	0,187		1,720				-1,376	17,632	167,879	-0,0329	0,421	4,008	
2,55	2,55	0,00	0,00	1,740				-1,382	-4,280	10,799	-0,0330	-0,102	0,258		1,740				-0,990	19,674	25,525	-0,0236	0,470	0,609	
2,58	2,58	0,00	0,00	1,750	99,43	99,75	-0,32								1,750	101,19	99,76	1,43							
2,60	2,60	0,00	0,00	1,760				-1,466	-4,045	11,781	-0,0350	-0,097	0,281		1,760				-0,589	18,653	-128,609	-0,0141	0,445	-3,070	
2,62	2,62	0,00	0,00	1,780				-1,544	-3,809	12,763	-0,0369	-0,091	0,305		1,780				-0,243	14,530	-268,017	-0,0058	0,347	-6,398	
2,65	2,65	0,00	0,00	1,800	99,43	99,75	-0,32	-1,618	-3,534	14,726	-0,0386	-0,084	0,352	24,5	1,800	100,75	99,76	0,99	-0,008	7,933	-365,210	-1,8750E-4	0,189	-8,719	24,6
2,67	2,67	0,00	0,00	1,820				-1,685	-3,220	16,690	-0,0402	-0,077	0,398		1,820				0,074	-0,079	-401,535	0,0018	-0,002	-9,586	
