FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				207,660				-1,021	-19,714	28,471	-0,0244	-0,471	0,680																							
				207,680				-1,409	-17,554	171,806	-0,0336	-0,419	4,102																							
				207,700	98,38	99,76	-1,38	-1,723	-12,841	274,890	-0,0411	-0,307	6,562	24,6																						
				207,720				-1,923	-6,558	331,831	-0,0459	-0,157	7,922																							
				207,740				-1,985	0,432	350,484	-0,0474	0,010	8,367																							
				207,750	99,45	99,76	-0,31																													
				207,760				-1,905	7,461	329,867	-0,0455	0,178	7,875																							
				207,780				-1,687	13,627	263,109	-0,0403	0,325	6,281																							
				207,800	100,28	99,76	0,52	-1,360	17,986	150,208	-0,0325	0,429	3,586	24,6																						
				207,820				-0,968	19,635	4,909	-0,0231	0,469	0,117																							
				207,840				-0,575	18,182	-146,281	-0,0137	0,434	-3,492																							
				207,850	101,20	99,76	1,44																													
				207,860				-0,240	13,784	-278,817	-0,0057	0,329	-6,656																							
				207,880				-0,024	7,029	-368,156	-5,6250E-4	0,168	-8,789																							
				207,900	99,97	99,76	0,21	0,041	-0,942	-398,590	9,7500E-4	-0,023	-9,516	24,6																						
				207,920				-0,061	-8,914	-359,320	-0,0015	-0,213	-8,578																							
				207,940				-0,316	-15,315	-252,309	-0,0075	-0,366	-6,023																							
				207,950	98,83	99,76	-0,93																													
				207,960				-0,674	-19,007	-106,029	-0,0161	-0,454	-2,531																							
				207,980				-1,076	-19,556	48,106	-0,0257	-0,467	1,148																							
				208,000	98,31	99,76	-1,45	-1,456	-17,082	186,532	-0,0348	-0,408	4,453	24,6																						
				208,020				-1,759	-12,095	286,671	-0,0420	-0,289	6,844																							
				208,040				-1,940	-5,616	336,740	-0,0463	-0,134	8,039																							
				208,050	99,05	99,76	-0,71																													
				208,060				-1,984	1,374	347,539	-0,0474	0,033	8,297																							
				208,080				-1,885	8,286	322,995	-0,0450	0,198	7,711																							
				208,100	99,79	99,76	0,03	-1,652	14,294	249,364	-0,0394	0,341	5,953	24,6																						
				208,120				-1,313	18,261	130,573	-0,0313	0,436	3,117																							
				208,140				-0,922	19,517	-10,799	-0,0220	0,466	-0,258																							
				208,150	101,20	99,76	1,44																													
				208,160				-0,533	17,829	-160,025	-0,0127	0,426	-3,820																							
				208,180				-0,209	13,116	-291,579	-0,0050	0,313	-6,961																							
				208,200	100,60	99,76	0,83	-0,008	6,165	-374,046	-1,8750E-4	0,147	-8,930	24,6																						
				208,220				0,038	-1,846	-397,608	9,0000E-4	-0,044	-9,492																							
				208,240				-0,082	-9,739	-351,466	-0,0019	-0,232	-8,391																							
				208,250	99,26	99,76	-0,50																													
				208,260				-0,352	-15,904	-237,583	-0,0084	-0,380	-5,672																							
				208,280				-0,718	-19,242	-89,339	-0,0171	-0,459	-2,133																							
				208,300	98,44	99,76	-1,32	-1,122	-19,478	65,777	-0,0268	-0,465	1,570	24,6																						
				208,320				-1,497	-16,611	202,240	-0,0357	-0,397	4,828																							
				208,340				-1,786	-11,388	293,543	-0,0426	-0,272	7,008																							
				208,350	98,65	99,76	-1,11																													
				208,360				-1,953	-4,869	340,667	-0,0466	-0,116	8,133																							
				208,380				-1,981	2,238	350,484	-0,0473	0,053	8,367																							
				208,400	99,54	99,76	-0,22	-1,863	9,150	315,141	-0,0445	0,218	7,523	24,6																						
				208,420				-1,615	14,844	234,638	-0,0385	0,354	5,602																							
				208,440				-1,269	18,535	115,846	-0,0303	0,443	2,766																							
				208,450	100,79	99,76	1,03																													
				208,460				-0,873	19,478	-29,452	-0,0208	0,465	-0,703																							
				208,480				-0,490	17,357	-177,696	-0,0117	0,414	-4,242																							
				208,500	100,74	99,76	0,98	-0,179	12,370	-302,379	-0,0043	0,295	-7,219	24,6																						
				208,520				0,005	5,262	-378,955	1,1250E-4	0,126	-9,047																							
				208,540				0,031	-2,788	-395,645	7,5000E-4	-0,067	-9,445																							
				208,550	99,56	99,76	-0,20																													
				208,560				-0,107	-10,564	-342,630	-0,0025	-0,252	-8,180																							
				208,580				-0,391	-16,493	-223,839	-0,0093	-0,394	-5,344																							
				208,600	98,47	99,76	-1,29	-0,767	-19,517	-69,704	-0,0183	-0,466	-1,664	24,6																						
				208,620				-1,172	-19,282	85,412	-0,0280	-0,460	2,039																							
				208,640				-1,538	-16,101	215,985	-0,0367	-0,384	5,156																							
				208,650	98,37	99,76	-1,39																													
				208,660				-1,816	-10,642	303,360	-0,0433	-0,254	7,242																							
				208,680				-1,963	-3,966	343,612	-0,0469	-0,095	8,203																							
				208,700	99,45	99,76	-0,31	-1,974	3,102	347,539	-0,0471	0,074	8,297	24,6																						
				208,720				-1,839	9,935	307,287	-0,0439	0,237	7,336																							
				208,740				-1,577	15,394	220,893	-0,0376	0,367	5,273																							
				208,750	100,28	99,76	0,52																													
				208,760				-1,224	18,771	101,120	-0,0292	0,448	2,414																							
				208,780				-0,826	19,439	-46,142	-0,0197	0,464	-1,102																							
				208,800	101,18	99,76	1,42	-0,446	16,925	-197,331	-0,0106	0,404	-4,711	24,6																						
				208,820				-0,149	11,545	-314,159	-0,0036	0,276	-7,500																							
				208,840				0,016	4,359	-380,918	3,7500E-4	0,104	-9,094																							
				208,850	99,98	99,76	0,22																													
				208,860				0,025	-3,691	-391,718	6,0000E-4	-0,088	-9,352																							
				208,880				-0,132	-11,310	-330,849	-0,0031	-0,270	-7,898																							
				208,900	98,84	99,76	-0,92	-0,427	-16,925	-207,149	-0,0102	-0,404	-4,945	24,6																						
				208,920				-0,809	-19,596	-52,033	-0,0193	-0,468	-1,242																							
				208,940				-1,211	-19,007	100,138	-0,0289	-0,454	2,391																							
				208,950	98,30	99,76	-1,46																													
				208,960				-1,569	-15,590	224,820	-0,0375	-0,372	5,367																							
				208,980				-1,835	-10,014	307,287	-0,0438	-0,239	7,336																							
				209,000	99,04	99,76	-0,72	-1,970	-3,299	345,575	-0,0470	-0,079	8,250	24,6																						
				209,020				-1,967	3,809	348,521	-0,0469	0,091	8,320																							
				209,040				-1,817	10,642	304,342	-0,0434	0,254	7,266																							
				209,050	99,78	99,76	0,02																													
				209,060				-1,541	15,983	210,094	-0,0368	0,382	5,016																							
				209,080				-1,178	19,046	83,449	-0,0281	0,455	1,992																							
				209,100	101,19	99,76	1,43	-0,779	19,321	-65,777	-0,0186	0,461	-1,570	24,6																						
				209,120				-0,405	16,415	-214,021	-0,0097	0,392	-5,109																							
				209,140				-0,123	10,760	-324,959	-0,0029	0,257	-7,758																							
				209,150	100,59	99,76	0,83																													
				209,160				0,025	3,416	-385,827	6,0000E-4	0,082	-9,211																							
				209,180				0,014	-4,673	-388,772	3,3750E-4	-0,112	-9,281																							
				209,200	99,27	99,76	-0,49	-0,162	-12,134	-318,086	-0,0039	-0,290	-7,594	24,6																						
				209,220				-0,471	-17,397	-187,514	-0,0112	-0,415	-4,477																							
				209,240				-0,858	-19,635	-34,361	-0,0205	-0,469	-0,820																							
				209,250	98,45	99,76	-1,31																													
				209,260				-1,257	-18,771	113,883	-0,0300	-0,448	2,719																							
				209,280				-1,608	-15,080	238,565	-0,0384	-0,360	5,695																							
				209,300	98,64	99,76	-1,12	-1,860	-9,228	316,123	-0,0444	-0,220	7,547	24,6																						
				209,320				-1,978	-2,435	347,539	-0,0472	-0,058	8,297																							
				209,340				-1,957	4,673	344,594	-0,0467	0,112	8,227																							
				209,350	99,53	99,76	-0,23																													
				209,360				-1,791	11,349	296,488	-0,0427	0,271	7,078																							
				209,380				-1,503	16,533	201,258	-0,0359	0,395	4,805																							
				209,400	100,79	99,76	1,03	-1,129	19,399	65,777	-0,0270	0,463	1,570	24,6																						
				209,420				-0,727	19,164	-88,357	-0,0174	0,457	-2,109																							
				209,440				-0,363	15,865	-231,693	-0,0087	0,379	-5,531																							
				209,450	101,11	99,76	1,35																													
				209,460				-0,093	9,896	-339,685	-0,0022	0,236	-8,109																							
				209,480				0,033	2,278	-392,699	7,8750E-4	0,054	-9,375																							
				209,500	99,56	99,76	-0,20	-0,002	-5,812	-383,864	-3,7500E-5	-0,139	-9,164	24,6																						
				209,520				-0,199	-13,077	-302,379	-0,0048	-0,312	-7,219																							
				209,540				-0,525	-17,907	-166,897	-0,0125	-0,428	-3,984																							
				209,550	98,72	99,76	-1,05																													
				209,560				-0,916	-19,753	-13,744	-0,0219	-0,472	-0,328																							
				209,580				-1,315	-18,457	137,445	-0,0314	-0,441	3,281																							
				209,600	98,37	99,76	-1,39	-1,654	-14,255	256,236	-0,0395	-0,340	6,117	24,6																						
				209,620				-1,885	-8,207	322,013	-0,0450	-0,196	7,687																							
				209,640				-1,982	-1,374	347,539	-0,0473	-0,033	8,297																							
				209,650	99,15	99,76	-0,61																													
				209,660				-1,940	5,694	339,685	-0,0463	0,136	8,109																							
				209,680				-1,755	12,213	284,707	-0,0419	0,292	6,797																							
				209,700	100,30	99,76	0,54	-1,451	17,082	181,623	-0,0346	0,408	4,336	24,6																						
				209,720				-1,071	19,478	44,179	-0,0256	0,465	1,055																							
				209,740				-0,672	18,850	-107,011	-0,0160	0,450	-2,555																							
				209,750	101,29	99,76	1,52																													
				209,760				-0,317	15,197	-249,364	-0,0076	0,363	-5,953																							
				209,780				-0,064	8,875	-353,429	-0,0015	0,212	-8,437																							
				209,800	99,95	99,76	0,19	0,038	1,060	-396,626	9,0000E-4	0,025	-9,469	24,6																						
				209,820				-0,022	-6,990	-376,991	-5,2500E-4	-0,167	-9,000																							
				209,840				-0,242	-14,019	-286,671	-0,0058	-0,335	-6,844																							
				209,850	99,14	99,77	-0,63																													
				209,860				-0,583	-18,457	-145,299	-0,0139	-0,441	-3,469																							
				209,880				-0,980	-19,831	11,781	-0,0234	-0,473	0,281																							
				209,900	98,29	99,76	-1,47	-1,376	-17,986	161,988	-0,0328	-0,429	3,867	24,6																						
				209,920				-1,700	-13,352	270,963	-0,0406	-0,319	6,469																							
				209,940				-1,910	-7,147	327,904	-0,0456	-0,171	7,828																							
				209,950	98,76	99,76	-1,00																													
				209,960				-1,985	-0,236	348,521	-0,0474	-0,006	8,320																							
				209,980				-1,920	6,794	333,794	-0,0458	0,162	7,969																							
				210,000	99,81	99,76	0,06	-1,714	13,116	269,981	-0,0409	0,313	6,445	24,6																						
				210,020				-1,395	17,593	160,025	-0,0333	0,420	3,820																							
				210,040				-1,010	19,517	22,580	-0,0241	0,466	0,539																							
				210,050	101,22	99,76	1,46																													
				210,060				-0,614	18,496	-128,609	-0,0147	0,442	-3,070																							
				210,080				-0,270	14,373	-268,999	-0,0064	0,343	-6,422																							
				210,100	100,55	99,76	0,78	-0,039	7,736	-362,265	-9,3750E-4	0,185	-8,648	24,6																						
				210,120				0,039	-0,118	-395,645	9,3750E-4	-0,003	-9,445																							
				210,140				-0,044	-8,090	-367,174	-0,0010	-0,193	-8,766																							
				210,150	99,24	99,76	-0,52																													
				210,160				-0,284	-14,805	-269,981	-0,0068	-0,353	-6,445																							
				210,180				-0,636	-18,889	-124,682	-0,0152	-0,451	-2,977																							
				210,200	98,44	99,77	-1,33	-1,040	-19,792	35,343	-0,0248	-0,473	0,844	24,6																						
				210,220				-1,428	-17,475	180,642	-0,0341	-0,417	4,313																							
				210,240				-1,739	-12,566	282,744	-0,0415	-0,300	6,750																							
				210,250	98,68	99,76	-1,07																													
				210,260				-1,931	-6,165	334,776	-0,0461	-0,147	7,992																							
				210,280				-1,985	0,825	349,502	-0,0474	0,020	8,344																							
				210,300	99,56	99,76	-0,20	-1,898	7,815	326,922	-0,0453	0,187	7,805	24,6																						
				210,320				-1,673	13,902	257,218	-0,0399	0,332	6,141																							
				210,340				-1,341	18,103	141,372	-0,0320	0,432	3,375																							
				210,350	100,83	99,76	1,07																													
				210,360				-0,949	19,556	-2,945	-0,0226	0,467	-0,070																							
				210,380				-0,559	17,986	-151,189	-0,0133	0,429	-3,609																							
				210,400	101,07	99,76	1,31	-0,229	13,509	-281,762	-0,0055	0,322	-6,727	24,6																						
				210,420				-0,019	6,715	-369,137	-4,5000E-4	0,160	-8,812																							
				210,440				0,039	-1,257	-396,626	9,3750E-4	-0,030	-9,469																							
				210,450	99,55	99,77	-0,21																													
				210,460				-0,069	-9,150	-355,393	-0,0016	-0,218	-8,484																							
				210,480				-0,327	-15,472	-249,364	-0,0078	-0,369	-5,953																							
				210,500	98,68	99,76	-1,08	-0,688	-19,124	-102,102	-0,0164	-0,457	-2,437	24,6																						
				210,520				-1,092	-19,556	53,996	-0,0261	-0,467	1,289																							
				210,540				-1,470	-16,965	191,441	-0,0351	-0,405	4,570																							
				210,550	98,39	99,76	-1,37																													
				210,560				-1,770	-11,899	290,598	-0,0423	-0,284	6,937																							
				210,580				-1,946	-5,341	341,648	-0,0465	-0,128	8,156																							
				210,600	99,19	99,76	-0,58	-1,984	1,767	352,448	-0,0474	0,042	8,414	24,6																						
				210,620				-1,876	8,757	320,050	-0,0448	0,209	7,641																							
				210,640				-1,634	14,569	241,510	-0,0390	0,348	5,766																							
				210,650	100,34	99,76	0,58																													
				210,660				-1,293	18,418	124,682	-0,0309	0,440	2,977																							
				210,680				-0,897	19,556	-20,617	-0,0214	0,467	-0,492																							
				210,700	101,28	99,76	1,52	-0,511	17,593	-170,824	-0,0122	0,420	-4,078	24,6																						
				210,720				-0,193	12,723	-297,470	-0,0046	0,304	-7,102																							
				210,740				-0,002	5,694	-376,010	-3,7500E-5	0,136	-8,977																							
				210,750	99,92	99,76	0,16																													
				210,760				0,035	-2,317	-394,663	8,2500E-4	-0,055	-9,422																							
				210,780				-0,094	-10,092	-344,594	-0,0022	-0,241	-8,227																							
				210,800	99,11	99,76	-0,65	-0,369	-16,101	-229,729	-0,0088	-0,384	-5,484	24,6																						
				210,820				-0,738	-19,282	-82,467	-0,0176	-0,460	-1,969																							
				210,840				-1,140	-19,399	70,686	-0,0272	-0,463	1,688																							
				210,850	98,29	99,76	-1,47																													
				210,860				-1,514	-16,454	207,149	-0,0361	-0,393	4,945																							
				210,880				-1,799	-11,113	298,452	-0,0429	-0,265	7,125																							
				210,900	98,77	99,76	-0,99	-1,959	-4,516	344,594	-0,0468	-0,108	8,227	24,6																						
				210,920				-1,979	2,670	352,448	-0,0472	0,064	8,414																							
				210,940				-1,852	9,582	314,159	-0,0442	0,229	7,500																							
				210,950	99,84	99,76	0,07																													
				210,960				-1,596	15,237	230,711	-0,0381	0,364	5,508																							
				210,980				-1,243	18,810	108,974	-0,0297	0,449	2,602																							
				211,000	101,00	99,76	1,24	-0,844	19,596	-41,233	-0,0201	0,468	-0,984	24,6																						
				211,020				-0,459	17,161	-195,368	-0,0109	0,410	-4,664																							
				211,040				-0,157	11,781	-315,141	-0,0037	0,281	-7,523																							
				211,050	100,51	99,76	0,75																													
				211,060				0,013	4,555	-382,882	3,0000E-4	0,109	-9,141																							
				211,080				0,025	-3,534	-394,663	6,0000E-4	-0,084	-9,422																							
				211,100	99,50	99,76	-0,26	-0,129	-11,231	-332,813	-0,0031	-0,268	-7,945	24,6																						
				211,120				-0,424	-16,847	-208,131	-0,0101	-0,402	-4,969																							
				211,140				-0,803	-19,556	-55,960	-0,0192	-0,467	-1,336																							
				211,150	98,42	99,76	-1,34																													
				211,160				-1,206	-19,085	97,193	-0,0288	-0,456	2,320																							
				211,180				-1,566	-15,669	224,820	-0,0374	-0,374	5,367																							
				211,200	98,47	99,76	-1,29	-1,833	-10,092	306,306	-0,0438	-0,241	7,312	24,6																						
				211,220				-1,970	-3,416	344,594	-0,0470	-0,082	8,227																							
				211,240				-1,970	3,691	347,539	-0,0470	0,088	8,297																							
				211,250	99,56	99,76	-0,20																													
				211,260				-1,822	10,485	302,379	-0,0435	0,250	7,219																							
				211,280				-1,550	15,787	213,039	-0,0370	0,377	5,086																							
				211,300	100,50	99,76	0,75	-1,191	19,007	90,321	-0,0284	0,454	2,156	24,6																						
				211,320				-0,790	19,399	-60,868	-0,0189	0,463	-1,453																							
				211,340				-0,415	16,572	-211,076	-0,0099	0,396	-5,039																							
				211,350	101,06	99,76	1,30																													
				211,360				-0,127	10,956	-325,940	-0,0030	0,262	-7,781																							
				211,380				0,024	3,534	-388,772	5,6250E-4	0,084	-9,281																							
				211,400	99,78	99,76	0,02	0,014	-4,595	-390,736	3,3750E-4	-0,110	-9,328	24,6																						
				211,420				-0,160	-12,095	-320,050	-0,0038	-0,289	-7,641																							
				211,440				-0,470	-17,397	-190,459	-0,0112	-0,415	-4,547																							
				211,450	98,66	99,76	-1,10																													
				211,460				-0,856	-19,714	-34,361	-0,0204	-0,471	-0,820																							
				211,480				-1,258	-18,771	116,828	-0,0300	-0,448	2,789																							
				211,500	98,29	99,76	-1,46	-1,607	-15,040	237,583	-0,0384	-0,359	5,672	24,6																						
				211,520				-1,860	-9,268	314,159	-0,0444	-0,221	7,500																							
				211,540				-1,978	-2,474	347,539	-0,0472	-0,059	8,297																							
				211,550	99,21	99,76	-0,54																													
				211,560				-1,959	4,634	343,612	-0,0468	0,111	8,203																							
				211,580				-1,792	11,270	293,543	-0,0428	0,269	7,008																							
				211,600	100,35	99,75	0,60	-1,508	16,376	199,295	-0,0360	0,391	4,758	24,6																						
				211,620				-1,137	19,242	69,704	-0,0271	0,459	1,664																							
				211,640				-0,738	19,164	-81,485	-0,0176	0,457	-1,945																							
				211,650	101,27	99,76	1,51																													
				211,660				-0,371	15,983	-228,747	-0,0088	0,382	-5,461																							
				211,680				-0,099	10,014	-336,740	-0,0024	0,239	-8,039																							
				211,700	99,89	99,75	0,14	0,030	2,513	-390,736	7,1250E-4	0,060	-9,328	24,6																						
				211,720				0,002	-5,616	-386,809	3,7500E-5	-0,134	-9,234																							
				211,740				-0,195	-12,959	-308,269	-0,0046	-0,309	-7,359																							
				211,750	99,08	99,76	-0,67																													
				211,760				-0,517	-17,946	-170,824	-0,0123	-0,428	-4,078																							
				211,780				-0,913	-19,792	-13,744	-0,0218	-0,473	-0,328																							
				211,800	98,28	99,76	-1,49	-1,308	-18,496	134,500	-0,0312	-0,442	3,211	24,6																						
				211,820				-1,652	-14,412	256,236	-0,0394	-0,344	6,117																							
				211,840				-1,885	-8,247	324,959	-0,0450	-0,197	7,758																							
				211,850	98,80	99,76	-0,96																													
				211,860				-1,982	-1,414	346,557	-0,0473	-0,034	8,273																							
				211,880				-1,942	5,616	337,721	-0,0463	0,134	8,062																							
				211,900	99,86	99,76	0,10	-1,758	12,095	282,744	-0,0420	0,289	6,750	24,6																						
				211,920				-1,458	16,925	182,605	-0,0348	0,404	4,359																							
				211,940				-1,081	19,399	49,087	-0,0258	0,463	1,172																							
				211,950	101,04	99,76	1,28																													
				211,960				-0,682	18,889	-103,084	-0,0163	0,451	-2,461																							
				211,980				-0,325	15,276	-246,419	-0,0078	0,365	-5,883																							
				212,000	100,48	99,76	0,72	-0,071	9,032	-347,539	-0,0017	0,216	-8,297	24,6																						
				212,020				0,036	1,374	-391,718	8,6250E-4	0,033	-9,352																							
				212,040				-0,016	-6,637	-376,991	-3,7500E-4	-0,158	-9,000																							
				212,050	99,49	99,76	-0,27																													
				212,060				-0,229	-13,705	-291,579	-0,0055	-0,327	-6,961																							
				212,080				-0,564	-18,300	-152,171	-0,0135	-0,437	-3,633																							
				212,100	98,41	99,76	-1,34	-0,961	-19,792	3,927	-0,0229	-0,473	0,094	24,6																						
				212,120				-1,356	-18,143	152,171	-0,0324	-0,433	3,633																							
				212,140				-1,687	-13,705	267,036	-0,0403	-0,327	6,375																							
				212,150	98,47	99,76	-1,29																													
				212,160				-1,904	-7,461	328,886	-0,0454	-0,178	7,852																							
				212,180				-1,985	-0,550	349,502	-0,0474	-0,013	8,344																							
				212,200	99,58	99,76	-0,17	-1,926	6,519	336,740	-0,0460	0,156	8,039	24,6																						
				212,220				-1,725	12,920	273,908	-0,0412	0,308	6,539																							
				212,240				-1,409	17,475	164,934	-0,0336	0,417	3,937																							
				212,250	100,54	99,76	0,78																													
				212,260				-1,026	19,517	27,489	-0,0245	0,466	0,656																							
				212,280				-0,628	18,575	-124,682	-0,0150	0,443	-2,977																							
				212,300	101,02	99,76	1,26	-0,283	14,530	-263,109	-0,0067	0,347	-6,281	24,6																						
				212,320				-0,047	8,050	-356,375	-0,0011	0,192	-8,508																							
				212,340				0,039	0,275	-393,681	9,3750E-4	0,007	-9,398																							
				212,350	99,76	99,76	0,00																													
				212,360				-0,036	-7,697	-370,119	-8,6250E-4	-0,184	-8,836																							
				212,380				-0,269	-14,530	-274,890	-0,0064	-0,347	-6,562																							
				212,400	98,65	99,76	-1,11	-0,617	-18,692	-130,573	-0,0147	-0,446	-3,117	24,6																						
				212,420				-1,016	-19,753	25,525	-0,0243	-0,472	0,609																							
				212,440				-1,407	-17,671	170,824	-0,0336	-0,422	4,078																							
				212,450	98,30	99,76	-1,46																													
				212,460				-1,723	-12,920	276,853	-0,0411	-0,308	6,609																							
				212,480				-1,924	-6,597	334,776	-0,0459	-0,158	7,992																							
				212,500	99,23	99,76	-0,53	-1,987	0,471	352,448	-0,0474	0,011	8,414	24,6																						
				212,520				-1,905	7,501	328,886	-0,0455	0,179	7,852																							
				212,540				-1,687	13,627	261,145	-0,0403	0,325	6,234																							
				212,550	99,99	99,76	0,23																													
				212,560				-1,360	17,946	149,226	-0,0325	0,428	3,562																							
				212,580				-0,969	19,596	5,890	-0,0231	0,468	0,141																							
				212,600	101,28	99,76	1,52	-0,576	18,182	-145,299	-0,0138	0,434	-3,469	24,6																						
				212,620				-0,242	13,784	-278,817	-0,0058	0,329	-6,656																							
				212,640				-0,025	7,029	-366,192	-6,0000E-4	0,168	-8,742																							
				212,650	100,30	99,76	0,54																													
				212,660				0,039	-0,864	-395,645	9,3750E-4	-0,021	-9,445																							
				212,680				-0,060	-8,796	-360,302	-0,0014	-0,210	-8,602																							
				212,700	99,06	99,76	-0,69	-0,313	-15,276	-254,273	-0,0075	-0,365	-6,070	24,6																						
				212,720				-0,671	-18,967	-107,992	-0,0160	-0,453	-2,578																							
				212,740				-1,071	-19,596	46,142	-0,0256	-0,468	1,102																							
				212,750	98,30	99,76	-1,46																													
				212,760				-1,455	-17,122	186,532	-0,0347	-0,409	4,453																							
				212,780				-1,756	-12,134	284,707	-0,0419	-0,290	6,797																							
				212,800	98,80	99,76	-0,96	-1,940	-5,733	336,740	-0,0463	-0,137	8,039	24,6																						
				212,820				-1,985	1,335	351,466	-0,0474	0,032	8,391																							
				212,840				-1,887	8,325	323,977	-0,0450	0,199	7,734																							
				212,850	99,64	99,76	-0,12																													
				212,860				-1,652	14,294	250,346	-0,0394	0,341	5,977																							
				212,880				-1,315	18,339	133,518	-0,0314	0,438	3,187																							
				212,900	101,09	99,75	1,33	-0,919	19,635	-13,744	-0,0219	0,469	-0,328	24,6																						
				212,920				-0,529	17,789	-164,934	-0,0126	0,425	-3,937																							
				212,940				-0,207	13,038	-292,561	-0,0049	0,311	-6,984																							
				212,950	100,91	99,76	1,15																													
				212,960				-0,008	6,087	-374,046	-1,8750E-4	0,145	-8,930																							
				212,980				0,036	-1,924	-398,590	8,6250E-4	-0,046	-9,516																							
				213,000	99,48	99,76	-0,29	-0,085	-9,857	-350,484	-0,0020	-0,235	-8,367	24,6																						
				213,020				-0,358	-15,944	-234,638	-0,0085	-0,381	-5,602																							
				213,040				-0,723	-19,242	-87,376	-0,0172	-0,459	-2,086																							
				213,050	98,55	99,75	-1,20																													
				213,060				-1,128	-19,439	66,759	-0,0269	-0,464	1,594																							
				213,080				-1,500	-16,572	202,240	-0,0358	-0,396	4,828																							
				213,100	98,49	99,75	-1,26	-1,791	-11,349	295,506	-0,0427	-0,271	7,055	24,6																						
				213,120				-1,954	-4,752	340,667	-0,0466	-0,113	8,133																							
				213,140				-1,981	2,278	347,539	-0,0473	0,054	8,297																							
				213,150	99,59	99,76	-0,17																													
				213,160				-1,863	9,150	315,141	-0,0445	0,218	7,523																							
				213,180				-1,615	14,883	235,620	-0,0385	0,355	5,625																							
				213,200	100,54	99,76	0,78	-1,268	18,575	114,865	-0,0303	0,443	2,742	24,6																						
				213,220				-0,872	19,478	-31,416	-0,0208	0,465	-0,750																							
				213,240				-0,489	17,318	-178,678	-0,0117	0,413	-4,266																							
				213,250	101,03	99,76	1,27																													
				213,260				-0,179	12,331	-301,397	-0,0043	0,294	-7,195																							
				213,280				0,005	5,262	-378,955	1,1250E-4	0,126	-9,047																							
				213,300	99,75	99,75	-0,01	0,031	-2,827	-394,663	7,5000E-4	-0,067	-9,422	24,6																						
				213,320				-0,108	-10,524	-340,667	-0,0026	-0,251	-8,133																							
				213,340				-0,390	-16,454	-224,820	-0,0093	-0,393	-5,367																							
				213,350	98,64	99,76	-1,12																													
				213,360				-0,767	-19,517	-70,686	-0,0183	-0,466	-1,687																							
				213,380				-1,170	-19,282	84,430	-0,0279	-0,460	2,016																							
				213,400	98,29	99,76	-1,47	-1,538	-16,140	215,985	-0,0367	-0,385	5,156	24,6																						
				213,420				-1,816	-10,642	303,360	-0,0433	-0,254	7,242																							
				213,440				-1,963	-4,006	342,630	-0,0469	-0,096	8,180																							
				213,450	99,24	99,76	-0,52																													
				213,460				-1,976	3,063	348,521	-0,0472	0,073	8,320																							
				213,480				-1,841	9,935	309,251	-0,0439	0,237	7,383																							
				213,500	99,98	99,76	0,22	-1,579	15,433	220,893	-0,0377	0,368	5,273	24,6																						
				213,520				-1,224	18,771	99,157	-0,0292	0,448	2,367																							
				213,540				-0,828	19,399	-46,142	-0,0198	0,463	-1,102																							
				213,550	101,28	99,75	1,53																													
				213,560				-0,448	16,925	-195,368	-0,0107	0,404	-4,664																							
				213,580				-0,151	11,585	-314,159	-0,0036	0,277	-7,500																							
				213,600	100,31	99,76	0,55	0,016	4,359	-382,882	3,7500E-4	0,104	-9,141	24,6																						
				213,620				0,024	-3,731	-391,718	5,6250E-4	-0,089	-9,352																							
				213,640				-0,134	-11,310	-330,849	-0,0032	-0,270	-7,898																							
				213,650	99,06	99,76	-0,70																													
				213,660				-0,429	-16,965	-207,149	-0,0102	-0,405	-4,945																							
				213,680				-0,812	-19,596	-53,014	-0,0194	-0,468	-1,266																							
				213,700	98,29	99,76	-1,47	-1,213	-19,085	99,157	-0,0289	-0,456	2,367	24,6																						
				213,720				-1,576	-15,629	228,747	-0,0376	-0,373	5,461																							
				213,740				-1,838	-9,935	310,233	-0,0439	-0,237	7,406																							
